Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Ago/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Ago/25;Jul/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.769.940,61;20.394.954,68; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Ago/25;Jul/25; ; ;
 ; ; ;DISPONIBILIDADES; ;1.429.210,03;1.012.244,12; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.429.210,03;1.012.244,12; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,62;0,62;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;11.259.952,77;10.259.601,26; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,58;1,61;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;8.628.772,89;7.894.362,38; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,60;0,61;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;310.759,02;302.669,74; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,81;0,81;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,30;0,31;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;2.320.420,86;2.062.569,14; ;I - ÍNDICES DE LIQUIDEZ; ;Ago/25;Jul/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
