Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Dezembro/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Dez/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Dez/25;Nov/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;21.981.007,13;20.600.373,47; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Dez/25;Nov/25; ; ;
 ; ; ;DISPONIBILIDADES; ;3.107.648,79;1.803.310,14; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;3.107.648,79;1.803.310,14; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,64;0,62;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.571.130,06;11.017.685,47; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,50;1,61;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;8.438.019,92;8.844.544,71; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1,00;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,56;0,61;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;323.166,04;319.358,34; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,82;0,81;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,29;0,31;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.809.944,10;1.853.782,42; ;I - ÍNDICES DE LIQUIDEZ; ;Dez/25;Nov/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;8.302.228,28;7.779.377,86; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,10;1,11;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,16;0,10;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,68;0,74;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,10;1,19;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Dez/25;Nov/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.322.882,79;9.349.266,50; ;1 - MARGEM OPERACIONAL;LOL/VL;3,58;2,43;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;26,09;25,67;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;17.296,66;17.146,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;3,58;2,43;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;9.233.926,85;9.260.460,56; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,72;0,66;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,51;0,45;QUANTO MAIOR MELHOR; ;
