Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Fev/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Fev/25;Jan/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;21.906.861,17;21.671.762,77; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Fev/25;Jan/25; ; ;
 ; ; ;DISPONIBILIDADES; ;1.374.510,41;1.518.154,59; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.374.510,41;1.518.154,59; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,64;0,62;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.431.529,02;10.280.078,30; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,48;1,60;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.517.314,04;7.139.091,42; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,56;0,60;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;289.189,66;117.828,22; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,77;0,66;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,28;0,25;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;2.625.025,32;3.023.158,66; ;I - ÍNDICES DE LIQUIDEZ; ;Fev/25;Jan/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;10.100.821,74;9.873.529,88; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,13;1,20;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,08;0,09;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,65;0,71;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,21;1,30;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Fev/25;Jan/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;8.480.855,41;7.245.199,30; ;1 - MARGEM OPERACIONAL;LOL/VL;4,43;5,65;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;58.659,28;58.659,28; ;2 - MARGEM BRUTA;LB/VL;27,96;28,22;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;15.916,66;15.786,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;4,43;5,65;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;8.406.279,47;7.170.753,36; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,56;0,55;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,42;0,43;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;30.387.716,58;28.916.962,07; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,02;0,03;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,02;0,02;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,05;0,07;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;Fev/25;Jan/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;18.169.098,24;16.716.304,76; ; ; ; ; ; ; ;
 ; ; ;.   Fornecedores; ;9.710.080,57;8.650.233,81; ; ; ; ; ; ; ;
 ; ; ;.   Titulos a Pagar; ;1.089.705,29;98.180,65; ; ; ; ; ; ; ;
 ; ; ;.   Salários a Pagar; ;962.279,92;929.726,09; ;Venda; ;13.132.184,06;13.621.281,42; ; ;
 ; ; ;.   Obrigações Sociais; ;2.082,89;1.349,36; ;Rec Liquida; ;12.317.177,87;12.762.145,01; ; ;
 ; ; ;.   Obrigações Fiscais; ;510.221,98;598.546,56; ;Margem Venda; ;3.444.447,36;3.601.736,84; ; ;
 ; ; ;.   Financiamentos; ;2.069.283,30;2.270.253,02; ;Despe. Var; ;570.272,04;585.552,56; ; ;
 ; ; ;.   Outras obrigações; ;2.575.435,65;3.036.814,39; ;Marg Contrib.; ;2.874.175,32;3.016.184,29; ; ;
 ; ; ;.   Provisões Sociais; ;1.250.008,64;1.131.200,88; ;Desp. Fixas; ;2.162.846,14;2.096.841,64; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Ebitida; ;711.329,18;919.342,65; ; ;
 ; ; ; ; ; ; ; ;Resultado Financeiro; ;36.265,13;46.846,28; ; ;
 ; ; ;NÃO CIRCULANTE; ;1.340.924,66;1.340.924,66; ;Depreciação; ;86.220,25;89.335,02; ; ;
 ; ; ;.   Financiamentos; ;1.340.924,66;1.340.924,66; ;IRPJ/CSLL; ;43.069,15;62.451,50; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Lucro Op. Liquido; ;545.774,66;720.709,85; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;PATRIMÔNIO LÍQUIDO; ;10.877.693,68;10.859.732,65; ; ; ; ; ; ; ;
 ; ; ;.   Capital Social Integralizado; ;1.050.000,00;1.050.000,00; ; ; ; ; ; ; ;
 ; ; ;.   Reservas de Lucros; ;2.677.379,44;2.677.379,44; ; ; ; ; ; ; ;
 ; ; ;.      Reservas de Capitais; ;8.914.079,67;8.914.079,67; ; ; ; ; ; ; ;
 ; ; ;.   Resultado do Exercício Corrente; ;29.390,23;-61.466,69; ; ; ; ; ; ; ;
 ; ; ;.   ( - ) Dividendos Distribuidos; ;-1.793.155,66;-1.720.259,77; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;TOTAL DO PASSIVO E PATRIMÔNIO LIQUIDO; ;30.387.716,58;28.916.962,07; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ;ATIVO OPERACIONAL;PASSIVO OPERACIONAL; ; ; ; ; ; ; ;
 ; ; ; ; ;21.961.080,37;14.347.871,09; ; ; ; ; ; ; ;
 ; ; ; ; ;22.196.178,77;15.010.109,65; ; ; ; ; ; ; ;
 ; ; ; ; ;24.175.449,24;16.444.648,63; ; ; ; ; ; ; ;
 ; ; ; ; ;30.689.156,21;9.439.354,90; ; ; ; ; ; ; ;
