Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Janeiro/2026;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Jan/26; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Jan/26;Dez/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.053.160,22;21.981.007,13; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Jan/26;Dez/25; ; ;
 ; ; ;DISPONIBILIDADES; ;1.805.045,71;3.107.648,79; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.805.045,71;3.107.648,79; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,61;0,64;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.290.397,10;10.571.130,06; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,74;1,56;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;8.169.027,09;8.438.019,92; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1,00;1,00;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,63;0,56;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;325.591,17;323.166,04; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,81;0,82;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,31;0,29;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.795.778,84;1.809.944,10; ;I - ÍNDICES DE LIQUIDEZ; ;Jan/26;Dez/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;7.957.717,41;8.302.228,28; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,12;1,10;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,10;0,16;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,67;0,68;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,11;1,10;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Jan/26;Dez/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.349.003,66;9.322.882,79; ;1 - MARGEM OPERACIONAL;LOL/VL;4,45;3,58;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;27,05;26,09;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;17.396,66;17.296,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;4,45;3,58;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;9.259.947,72;9.233.926,85; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,62;0,72;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,44;0,51;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;29.402.163,88;31.303.889,92; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,03;0,03;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,02;0,02;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,05;0,05;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;Jan/26;Dez/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;18.021.014,25;20.025.095,42; ; ; ; ; ; ; ;
