Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Julho/2026;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Jul/26; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Jul/26;Jun/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;23.360.291,47;23.771.004,99; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Jul/26;Jun/26; ; ;
 ; ; ;DISPONIBILIDADES; ;1.188.820,28;2.616.474,23; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.188.820,28;2.616.474,23; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,61;0,62;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;11.678.742,54;10.458.938,87; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,65;1,61;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;8.430.706,10;7.818.369,11; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1,00;1,00;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,63;0,61;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;333.232,70;333.103,44; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,79;0,80;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,31;0,30;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;2.914.803,74;2.307.466,32; ;I - ÍNDICES DE LIQUIDEZ; ;Jul/26;Jun/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;10.492.728,65;10.695.591,89; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,13;1,12;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,06;0,12;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,62;0,61;QUANTO MAIOR MELHOR; ;
