Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Junho/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Jun/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Jun/25;Mai/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;21.321.394,68;20.479.329,95; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Jun/25;Mai/25; ; ;
 ; ; ;DISPONIBILIDADES; ;2.358.641,18;1.588.404,18; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;2.358.641,18;1.588.404,18; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,63;0,62;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;9.980.651,40;10.104.968,33; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,53;1,60;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.882.212,41;8.146.674,90; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,58;0,60;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;299.241,96;295.974,93; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,81;0,80;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,30;0,30;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.799.197,03;1.662.318,50; ;I - ÍNDICES DE LIQUIDEZ; ;Jun/25;Mai/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;8.982.102,10;8.785.957,44; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,11;1,12;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,13;0,09;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,69;0,69;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,19;1,20;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Jun/25;Mai/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.078.631,20;9.008.226,89; ;1 - MARGEM OPERACIONAL;LOL/VL;4,55;5,53;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;26,56;27,56;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;16.496,66;16.316,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;4,55;5,53;QUANTO MAIOR MELHOR; ;
