Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2026;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Mai/26; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Mai/26;Abr/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.301.132,26;20.328.516,21; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Mai/26;Abr/26; ; ;
 ; ; ;DISPONIBILIDADES; ;1.781.181,57;1.960.255,55; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.781.181,57;1.960.255,55; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,58;0,58;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.684.924,97;9.806.659,25; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,71;1,72;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;8.336.826,01;7.680.762,19; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1,00;1,00;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,72;0,72;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;332.818,51;331.592,60; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,79;0,78;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,33;0,33;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;2.015.280,45;1.794.304,46; ;I - ÍNDICES DE LIQUIDEZ; ;Mai/26;Abr/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;7.835.025,72;8.561.601,41; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,15;1,16;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,10;0,11;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,70;0,67;QUANTO MAIOR MELHOR; ;
