Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2026;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Mar/26; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Mar/26;Fev/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;19.290.029,51;20.235.621,28; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Mar/26;Fev/26; ; ;
 ; ; ;DISPONIBILIDADES; ;1.486.307,81;1.371.845,90; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.486.307,81;1.371.845,90; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,56;0,58;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;9.471.000,17;10.383.429,49; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,82;1,73;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.412.831,95;8.232.362,41; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1,00;1,00;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,78;0,73;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;331.144,28;329.176,85; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,75;0,74;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,33;0,31;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.727.023,94;1.821.890,23; ;I - ÍNDICES DE LIQUIDEZ; ;Mar/26;Fev/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;8.332.721,53;8.480.345,89; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,20;1,19;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,09;0,08;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,68;0,69;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,19;1,19;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Mar/26;Fev/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.464.452,38;9.259.664,69; ;1 - MARGEM OPERACIONAL;LOL/VL;4,49;2,08;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;27,24;27,25;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;17.686,66;17.496,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;4,49;2,08;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;9.375.106,44;9.170.508,75; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,67;0,60;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,46;0,40;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;28.754.481,89;29.495.285,97; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,03;0,01;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,02;0,01;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,05;0,02;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;Mar/26;Fev/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;16.193.970,00;17.070.902,17; ; ; ; ; ; ; ;
 ; ; ;.   Fornecedores; ;9.227.492,45;9.707.431,12; ; ; ; ; ; ; ;
 ; ; ;.   Titulos a Pagar; ;291.744,41;249.174,24; ; ; ; ; ; ; ;
 ; ; ;.   Salários a Pagar; ;953.041,83;998.458,99; ;Venda; ;14.233.911,17;13.173.786,81; ; ;
 ; ; ;.   Obrigações Sociais; ;92.312,30;86.315,41; ;Rec Liquida; ;13.348.619,93;12.361.103,15; ; ;
 ; ; ;.   Obrigações Fiscais; ;580.676,51;605.917,96; ;Margem Venda; ;3.635.747,97;3.368.404,06; ; ;
 ; ; ;.   Financiamentos; ;638.637,14;863.291,71; ;Despe. Var; ;641.069,62;607.497,68; ; ;
 ; ; ;.   Outras obrigações; ;2.871.829,98;3.116.733,19; ;Marg Contrib.; ;2.994.678,35;2.760.906,38; ; ;
