Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Novembro/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Nov/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Nov/25;Out/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.600.373,47;20.097.046,34; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Nov/25;Out/25; ; ;
 ; ; ;DISPONIBILIDADES; ;1.803.310,14;1.867.971,62; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.803.310,14;1.867.971,62; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,62;0,61;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;11.017.685,47;10.071.777,77; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,58;1,63;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;8.844.544,71;7.794.414,26; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,61;0,63;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;319.358,34;314.443,86; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,81;0,81;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,31;0,31;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.853.782,42;1.962.919,65; ;I - ÍNDICES DE LIQUIDEZ; ;Nov/25;Out/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;7.779.377,86;8.157.296,95; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,11;1,12;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,10;0,11;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,74;0,72;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,19;1,20;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Nov/25;Out/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.349.266,50;9.328.681,78; ;1 - MARGEM OPERACIONAL;LOL/VL;2,43;8,00;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;25,67;28,10;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;17.146,66;17.046,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;2,43;8,00;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;9.260.460,56;9.239.975,84; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,66;0,69;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,46;0,47;QUANTO MAIOR MELHOR; ;
 ; ; ;TOTAL DO ATIVO; ;29.949.639,97;29.425.728,12; ;6 - RETORNO OPERACIONAL;LOL/(AOP1+AOP2/2);0,02;0,06;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;7 - RETORNO GERAL OU RENT. ATIVO;LLE/(AT1+AT2/2);0,01;0,04;QUANTO MAIOR MELHOR; ;
 ; ; ;PASSIVO E PATRIMÔNIO LIQUIDO; ;R$;R$; ;8 - RETORNO DO CAPITAL PRÓPRIO;LLE/(PL1+PL2/2);0,03;0,10;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ;Nov/25;Out/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;17.244.195,70;16.691.636,50; ; ; ; ; ; ; ;
 ; ; ;.   Fornecedores; ;10.210.718,00;9.665.136,60; ; ; ; ; ; ; ;
 ; ; ;.   Titulos a Pagar; ;254.365,28;214.552,48; ; ; ; ; ; ; ;
 ; ; ;.   Salários a Pagar; ;986.088,75;912.525,03; ;Venda; ;14.396.895,68;15.023.113,83; ; ;
 ; ; ;.   Obrigações Sociais; ;79.718,28;73.434,22; ;Rec Liquida; ;13.531.561,95;14.109.407,64; ; ;
 ; ; ;.   Obrigações Fiscais; ;619.072,24;626.630,04; ;Margem Venda; ;3.473.923,22;3.964.854,92; ; ;
 ; ; ;.   Financiamentos; ;182.620,41;399.240,54; ;Despe. Var; ;568.795,89;614.825,83; ; ;
 ; ; ;.   Outras obrigações; ;3.137.153,73;2.724.835,28; ;Marg Contrib.; ;2.905.127,34;3.350.029,09; ; ;
 ; ; ;.   Provisões Sociais; ;1.774.459,01;2.075.282,31; ;Desp. Fixas; ;2.417.787,00;2.035.363,34; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Ebitida; ;487.340,34;1.314.665,75; ; ;
