Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Outubro/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Out/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Out/25;Set/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.097.046,34;20.194.720,43; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Out/25;Set/25; ; ;
 ; ; ;DISPONIBILIDADES; ;1.867.971,62;1.794.807,21; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.867.971,62;1.794.807,21; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,61;0,61;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.071.777,77;10.168.139,49; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,63;1,63;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.794.414,26;7.704.376,86; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,63;0,63;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;314.443,86;312.725,87; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,81;0,81;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,31;0,31;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.962.919,65;2.151.036,76; ;I - ÍNDICES DE LIQUIDEZ; ;Out/25;Set/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;8.157.296,95;8.231.773,73; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,12;1,12;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,11;0,11;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,72;0,71;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,20;1,21;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Out/25;Set/25; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.328.681,78;9.281.002,50; ;1 - MARGEM OPERACIONAL;LOL/VL;8,00;5,12;QUANTO MAIOR MELHOR; ;
