Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Setembro/2025;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Set/25; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Set/25;Ago/25; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.194.720,43;20.769.940,61; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Set/25;Ago/25; ; ;
 ; ; ;DISPONIBILIDADES; ;1.794.807,21;1.429.210,03; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.794.807,21;1.429.210,03; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,61;0,62;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;10.168.139,49;11.259.952,77; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,66;1,60;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.704.376,86;8.628.772,89; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);0,93;0,93;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,63;0,60;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;312.725,87;310.759,02; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,81;0,81;QUANTO MENOR MELHOR; ;
