Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Abr/24; ;Mar/25; ;Abr/25; ; ; ;Abr/25; ;Abr/25;;Abr/25; ;
 ;RECEITA BRUTA OPERACIONAL;12.712.478,23; ;14.952.272,69; ;14.541.039,77; ;-411.232,92;-2,8%;14.541.039,77; ;396.085,75;0,0003;14.937.125,52; ;
 ;ABATIMENTOS SOBRE VENDAS;221.224,15; ;264.551,24; ;311.309,61; ;46.758,37;17,67;311.309,61; ;0,00;;311.309,61; ;
 ;RECEITA BRUTA EFETIVA (Produtos);12.491.254,08; ;14.687.721,45; ;14.229.730,16; ;-457.991,29;-3,1%;14.229.730,16; ; ;;14.229.730,16; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;396.085,75;; ; ;
 ;IMPOSTOS SOBRE VENDAS;751.282,40;6,42%;884.244,89;6,42%;868.669,47;6,51%;-15.575,42;-1,76;868.669,47; ;14.457,13;;883.126,60; ;
 ;DEVOLUÇÕES DE VENDA;29.687,46; ;21.386,35; ;27.391,95; ; ; ; ; ; ;;27.391,95; ;
 ;RECEITA OPERACIONAL LIQUIDA;11.710.284,22;100,00%;13.782.090,21;100%;13.333.668,74;100%;-448.421,47;-3,3%;13.333.668,74;100%;381.628,62;1;13.319.211,61;100%;
 ;CMV TOTAL;-8.578.794,68;-73,26%;-9.920.198,98;-71,98%;-9.698.483,57;-72,74%;221.715,41;-2,2%;-9.698.483,57;-72,74%;0,00;0;-9.698.483,57;-72,82%;
 ;( - ) Custo Merc Vendidas - Produtos;8.299.641,21;70,87%;9.681.301,71;70,25%;9.472.530,53;71,04%;-208.771,19;-2,2%;9.472.530,53;71,04%;0,00;0;9.472.530,53;71,12%;
 ;CMV Devolução de Vendas;20.127,65;0,17%;14.426,82;0,10%;18.075,76;0,13%;3.648,94;25,29;18.075,76;0,13%;0,00;0;18.075,76;0,13%;
 ;MARGEM DE VENDA;3.131.489,53;26,74%;3.861.891,23;28,02%;3.635.185,17;27,26%;-226.706,06;-5,9%;3.635.185,17;27,26%;381.628,62;1,0379;3.620.728,04;27,18%;
 ;DESPESAS VARIAVEIS;642.483,63;5,49%;674.410,51;4,89%;695.967,09;5,22%;21.556,58;3,2%;695.967,09;5,22%;0,00;0;695.967,09;5,23%;
 ;( - ) Despesas c/ vendas;212.792,57;1,82%;178.611,85;1,30%;201.869,21;1,51%;23.257,36;13,0%;201.869,21;1,51%;0,00;0;201.869,21;1,52%;
 ;( - ) Despesas c/ vendas - Financeiras;136.933,95;1,17%;151.246,40;1,10%;160.756,16;1,21%;9.509,76;6,3%;160.756,16;0,00;0,00;0;160.756,16;1,21%;
 ;( - ) Perdas de Mercadorias;193.812,83;1,66%;168.245,85;1,22%;130.598,59;0,98%;-11.210,54;-22,38%;130.598,59;0,98%;0,00;0;130.598,59;0,98%;
 ;( - ) Falta de Mercadorias;591.094,79;5,05%;400.877,89;2,91%;412.204,42;3,09%;11.326,53;2,83%;412.204,42;3,09%;0,00;0;412.204,42;3,09%;
 ;Sobra de Mercadorias;384.654,21;3,28%;178.215,93;1,29%;189.649,41;1,42%;11.433,48;6,42%;189.649,41;1,42%;0,00;0;189.649,41;1,42%;
 ;( - ) PERDAS TOTAL;292.757,11;2,50%;344.552,26;2,50%;333.341,72;2,50%;-11.210,54;-3,3%;333.341,72;2,50%;0,00;0;333.341,72;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.489.005,91;21,25%;3.187.480,73;23,13%;2.939.218,08;22,04%;-248.262,65;-7,8%;2.939.218,08;22,04%;381.628,62;1;2.924.760,95;21,96%;
 ;DESPESAS FIXAS;1.856.141,21;15,85%;2.245.672,71;16,29%;2.113.335,81;15,85%;-132.336,90;-5,9%;2.113.335,81;15,85%;10.470,69;0,0274;2.010.997,87;15,10%;
 ;( - ) Despesas de Pessoal (Lojas);1.284.032,05;10,96%;1.489.350,20;10,81%;1.560.126,84;11,70%;70.776,64;4,8%;1.560.126,84;11,70%;0,00;0;1.560.126,84;12,61%;
 ;( - ) Despesas de Pessoal (Administrativo);87.106,74;0,74%;137.130,46;0,99%;118.831,04;0,89%;-18.299,42;-13,34%;118.831,04;0,89%;0,00;0;118.831,04;0,89%;
 ;( - ) Despesas Tributarias;5.285,62;0,05%;10.424,89;0,08%;6.443,70;0,05%;-3.981,19;-38,2%;6.443,70;0,05%;40,28;0,0001;6.483,98;0,05%;
 ;( - ) Despesas com Utilidades;118.836,43;1,01%;139.444,58;1,01%;133.639,97;1,00%;-5.804,61;-4,2%;133.639,97;1,00%;10.246,41;0,0268;143.886,38;1,08%;
 ;( - ) Despesas Manutenção;69.949,65;0,60%;112.196,39;0,81%;54.060,93;0,41%;-58.135,46;-51,8%;54.060,93;0,41%;0,00;0;54.060,93;0,41%;
