Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Ago/24; ;Jul/25; ;Ago/25; ; ; ;Ago/25; ;Ago/25;;Ago/25; ;
 ;RECEITA BRUTA OPERACIONAL;14.182.497,71; ;15.568.001,14; ;15.116.226,49; ;-451.774,65;-2,9%;15.116.226,49; ;410.541,34;0,0003;15.526.767,83; ;
 ;ABATIMENTOS SOBRE VENDAS;166.508,87; ;480.852,75; ;249.399,58; ;-231.453,17;-48,13;249.399,58; ;0,00;;249.399,58; ;
 ;RECEITA BRUTA EFETIVA (Produtos);14.015.988,84; ;15.087.148,39; ;14.866.826,91; ;-220.321,48;-1,5%;14.866.826,91; ; ;;14.866.826,91; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;410.541,34;; ; ;
 ;IMPOSTOS SOBRE VENDAS;847.542,80;6,45%;914.563,60;6,47%;901.216,28;6,46%;-13.347,32;-1,46;901.216,28; ;14.984,76;;916.201,04; ;
 ;DEVOLUÇÕES DE VENDA;21.559,87; ;44.392,89; ;23.248,45; ; ; ; ; ; ;;23.248,45; ;
 ;RECEITA OPERACIONAL LIQUIDA;13.146.886,17;100,00%;14.128.191,90;100%;13.942.362,18;100%;-185.829,72;-1,3%;13.942.362,18;100%;395.556,58;1;13.927.377,42;100%;
 ;CMV TOTAL;-9.618.955,55;-73,17%;-10.265.367,09;-72,66%;-10.116.372,25;-72,56%;148.994,84;-1,5%;-10.116.372,25;-72,56%;0,00;0;-10.116.372,25;-72,64%;
 ;( - ) Custo Merc Vendidas - Produtos;9.350.217,09;71,12%;10.018.220,68;70,91%;9.869.080,84;70,78%;-149.139,83;-1,5%;9.869.080,84;70,78%;0,00;0;9.869.080,84;70,86%;
