Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Dezembro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Dez/24; ;Nov/25; ;Dez/25; ; ; ;Dez/25; ;Dez/25;;Dez/25; ;
 ;RECEITA BRUTA OPERACIONAL;17.069.465,49; ;14.795.970,29; ;16.982.083,57; ;2.186.113,28;14,8%;16.982.083,57; ;468.175,43;0,0003;17.450.259,00; ;
 ;ABATIMENTOS SOBRE VENDAS;836.655,84; ;384.532,45; ;374.951,73; ;-9.580,72;-2,49;374.951,73; ;0,00;;374.951,73; ;
 ;RECEITA BRUTA EFETIVA (Produtos);16.232.809,65; ;14.411.437,84; ;16.607.131,84; ;2.195.694,00;15,2%;16.607.131,84; ; ;;16.607.131,84; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;468.175,43;; ; ;
 ;IMPOSTOS SOBRE VENDAS;975.607,92;6,41%;839.601,63;6,20%;989.470,58;6,35%;149.868,95;17,85;989.470,58; ;17.088,40;;1.006.558,99; ;
 ;DEVOLUÇÕES DE VENDA;36.740,76; ;25.732,10; ;34.736,53; ; ; ; ; ; ;;34.736,53; ;
 ;RECEITA OPERACIONAL LIQUIDA;15.220.460,97;100,00%;13.546.104,11;100%;15.582.924,73;100%;2.036.820,62;15,0%;15.582.924,73;100%;451.087,03;1;15.565.836,32;100%;
 ;CMV TOTAL;-11.140.886,14;-73,20%;-10.072.180,09;-74,35%;-11.521.937,55;-73,94%;-1.449.757,45;14,4%;-11.521.937,55;-73,94%;0,00;0;-11.521.937,55;-74,02%;
 ;( - ) Custo Merc Vendidas - Produtos;10.850.721,35;71,29%;9.815.035,59;72,46%;11.225.995,17;72,04%;1.410.959,58;14,4%;11.225.995,17;72,04%;0,00;0;11.225.995,17;72,12%;
 ;CMV Devolução de Vendas;25.475,40;0,17%;18.449,37;0,14%;22.843,72;0,17%;4.394,35;23,82;22.843,72;0,17%;0,00;0;22.843,72;0,17%;
 ;MARGEM DE VENDA;4.079.574,84;26,80%;3.473.924,02;25,65%;4.060.987,18;26,06%;587.063,16;16,9%;4.060.987,18;26,06%;451.087,03;1,0379;4.043.898,78;25,98%;
 ;DESPESAS VARIAVEIS;719.703,93;4,73%;569.159,44;4,20%;665.588,65;4,27%;96.429,21;16,9%;665.588,65;4,27%;0,00;0;665.588,65;4,28%;
 ;( - ) Despesas c/ vendas;183.402,23;1,20%;94.334,79;0,70%;103.003,13;0,66%;8.668,34;9,2%;103.003,13;0,66%;0,00;0;103.003,13;0,66%;
 ;( - ) Despesas c/ vendas - Financeiras;155.790,18;1,02%;136.172,05;1,01%;173.012,40;1,11%;36.840,35;27,1%;173.012,40;0,00;0,00;0;173.012,40;1,11%;
 ;( - ) Perdas de Mercadorias;208.328,48;1,37%;128.380,26;0,95%;110.837,47;0,71%;50.920,52;-13,66%;110.837,47;0,71%;0,00;0;110.837,47;0,71%;
 ;( - ) Falta de Mercadorias;483.308,08;3,18%;626.731,01;4,63%;307.907,12;1,98%;-318.823,89;-50,87%;307.907,12;1,98%;0,00;0;307.907,12;1,98%;
 ;Sobra de Mercadorias;191.452,34;1,26%;256.496,44;1,89%;640.321,83;4,11%;383.825,39;149,64%;640.321,83;4,11%;0,00;0;640.321,83;4,11%;
 ;( - ) PERDAS TOTAL;380.511,52;2,50%;338.652,60;2,50%;389.573,12;2,50%;50.920,52;15,0%;389.573,12;2,50%;0,00;0;389.573,12;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;3.359.870,90;22,07%;2.904.764,57;21,44%;3.395.398,53;21,79%;490.633,96;16,9%;3.395.398,53;21,79%;451.087,03;1;3.378.310,13;21,70%;
 ;DESPESAS FIXAS;2.014.381,42;13,23%;2.415.715,64;17,83%;2.523.320,46;16,19%;107.604,82;4,5%;2.523.320,46;16,19%;58.913,35;0,1306;2.476.773,18;15,91%;
 ;( - ) Despesas de Pessoal (Lojas);1.537.283,45;10,10%;1.750.344,64;12,92%;1.818.248,53;11,67%;67.903,89;3,9%;1.818.248,53;11,67%;0,00;0;1.818.248,53;11,77%;
 ;( - ) Despesas de Pessoal (Administrativo);106.131,84;0,70%;6.103,15;0,05%;14.152,27;0,09%;8.049,12;131,88%;14.152,27;0,09%;0,00;0;14.152,27;0,09%;
 ;( - ) Despesas Tributarias;8.220,70;0,05%;18.396,27;0,14%;17.577,99;0,11%;-818,28;-4,4%;17.577,99;0,11%;280,61;0,0006;17.858,60;0,11%;
 ;( - ) Despesas com Utilidades;122.955,51;0,81%;138.829,60;1,02%;143.993,04;0,92%;5.163,44;3,7%;143.993,04;0,92%;870,67;0,0019;144.863,71;0,93%;
 ;( - ) Despesas Manutenção;82.045,71;0,54%;250.222,53;1,85%;281.274,03;1,81%;31.051,50;12,4%;281.274,03;1,81%;0,00;0;281.274,03;1,81%;
 ;( - ) Despesas Informática (T.I.);48.077,82;0,32%;62.186,04;0,46%;83.315,68;0,53%;21.129,64;34,0%;83.315,68;0,53%;0,00;0;83.315,68;0,54%;
 ;( - ) Despesas Honorarios Terceiros;41.667,50;0,27%;61.843,20;0,46%;69.329,39;0,44%;7.486,19;12,1%;69.329,39;0,44%;0,00;0;69.329,39;0,45%;
 ;( - ) Despesas Material Expediente;23.819,81;0,16%;23.168,33;0,17%;23.386,17;0,15%;217,84;0,9%;23.386,17;0,15%;0,00;0;23.386,17;0,15%;
 ;( - ) Despesas de Marketing;99.762,65;0,66%;66.805,54;0,49%;103.363,21;0,66%;36.557,67;54,7%;103.363,21;0,66%;0,00;0;103.363,21;0,66%;
