Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Fev/25; ;Jan/26; ;Fev/26; ; ; ;Fev/26; ;Fev/26;;Fev/26; ;
 ;RECEITA BRUTA OPERACIONAL;13.422.226,69; ;14.474.308,87; ;13.491.170,53; ;-983.138,34;-6,8%;13.491.170,53; ;390.660,37;0,0003;13.881.830,90; ;
 ;ABATIMENTOS SOBRE VENDAS;230.382,13; ;306.180,35; ;300.732,61; ;-5.447,74;-1,78;300.732,61; ;0,00;;300.732,61; ;
 ;RECEITA BRUTA EFETIVA (Produtos);13.191.844,56; ;14.168.128,52; ;13.190.437,92; ;-977.690,60;-6,9%;13.190.437,92; ; ;;13.190.437,92; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;390.660,37;; ; ;
 ;IMPOSTOS SOBRE VENDAS;787.953,80;6,37%;843.270,59;6,34%;796.737,96;6,44%;-46.532,63;-5,52;796.737,96; ;14.259,10;;810.997,06; ;
 ;DEVOLUÇÕES DE VENDA;27.052,39; ;24.629,73; ;15.945,70; ; ; ; ; ; ;;15.945,70; ;
 ;RECEITA OPERACIONAL LIQUIDA;12.376.838,37;100,00%;13.300.228,20;100%;12.377.754,26;100%;-922.473,94;-6,9%;12.377.754,26;100%;376.401,27;1;12.363.495,16;100%;
 ;CMV TOTAL;-8.932.391,01;-72,17%;-9.706.718,55;-72,98%;-9.008.238,01;-72,78%;698.480,54;-7,2%;-9.008.238,01;-72,78%;0,00;0;-9.008.238,01;-72,86%;
 ;( - ) Custo Merc Vendidas - Produtos;8.675.957,17;70,10%;9.452.473,91;71,07%;8.773.663,69;70,88%;-678.810,21;-7,2%;8.773.663,69;70,88%;0,00;0;8.773.663,69;70,96%;
 ;CMV Devolução de Vendas;17.751,56;0,14%;16.322,91;0,12%;9.538,88;0,07%;-6.784,03;-41,56;9.538,88;0,07%;0,00;0;9.538,88;0,07%;
 ;MARGEM DE VENDA;3.444.447,36;27,83%;3.593.509,65;27,02%;3.369.516,26;27,22%;-223.993,40;-6,2%;3.369.516,26;27,22%;376.401,27;1,0379;3.355.257,15;27,14%;
 ;DESPESAS VARIAVEIS;571.712,63;4,62%;612.811,55;4,61%;607.913,96;4,91%;-4.897,59;-0,8%;607.913,96;4,91%;0,00;0;607.913,96;4,92%;
 ;( - ) Despesas c/ vendas;132.539,56;1,07%;123.041,05;0,93%;150.168,18;1,21%;27.127,13;22,0%;150.168,18;1,21%;0,00;0;150.168,18;1,21%;
 ;( - ) Despesas c/ vendas - Financeiras;129.752,11;1,05%;157.264,79;1,18%;148.301,92;1,20%;-8.962,87;-5,7%;148.301,92;0,00;0,00;0;148.301,92;1,20%;
 ;( - ) Perdas de Mercadorias;169.638,41;1,37%;117.567,95;0,88%;133.083,71;1,08%;-23.061,85;13,20%;133.083,71;1,08%;0,00;0;133.083,71;1,08%;
 ;( - ) Falta de Mercadorias;374.497,30;3,03%;598.336,11;4,50%;1.373.079,09;11,09%;774.742,98;129,48%;1.373.079,09;11,09%;0,00;0;1.373.079,09;11,11%;
 ;Sobra de Mercadorias;197.774,62;1,60%;282.454,93;2,12%;219.391,93;1,77%;-63.063,00;-22,33%;219.391,93;1,77%;0,00;0;219.391,93;1,77%;
 ;( - ) PERDAS TOTAL;309.420,96;2,50%;332.505,71;2,50%;309.443,86;2,50%;-23.061,85;-6,9%;309.443,86;2,50%;0,00;0;309.443,86;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.872.734,73;23,21%;2.980.698,11;22,41%;2.761.602,30;22,31%;-219.095,81;-7,4%;2.761.602,30;22,31%;376.401,27;1;2.747.343,20;22,22%;
