Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Janeiro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Jan/24; ;Dez/24; ;Jan/25; ; ; ;Jan/25; ;Jan/25;;Jan/25; ;
 ;RECEITA BRUTA OPERACIONAL;11.908.532,38; ;17.072.553,45; ;13.909.747,22; ;-3.162.806,23;-18,5%;13.909.747,22; ;382.322,59;0,0003;14.292.069,81; ;
 ;ABATIMENTOS SOBRE VENDAS;156.709,19; ;900.158,75; ;286.703,41; ;-613.455,34;-68,15;286.703,41; ;0,00;;286.703,41; ;
 ;RECEITA BRUTA EFETIVA (Produtos);11.751.823,19; ;16.172.394,70; ;13.623.043,81; ;-2.549.350,89;-15,8%;13.623.043,81; ; ;;13.623.043,81; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;382.322,59;; ; ;
 ;IMPOSTOS SOBRE VENDAS;729.286,61;6,63%;975.607,92;6,44%;831.280,55;6,51%;-144.327,37;-14,79;831.280,55; ;13.954,77;;845.235,32; ;
 ;DEVOLUÇÕES DE VENDA;23.979,38; ;36.740,76; ;27.855,86; ; ; ; ; ; ;;27.855,86; ;
 ;RECEITA OPERACIONAL LIQUIDA;10.998.557,20;100,00%;15.160.046,02;100%;12.763.907,40;100%;-2.396.138,62;-15,8%;12.763.907,40;100%;368.367,82;1;12.749.952,63;100%;
 ;CMV TOTAL;-8.003.833,73;-72,77%;-11.080.471,19;-73,09%;-9.162.170,56;-71,78%;1.918.300,63;-17,3%;-9.162.170,56;-71,78%;0,00;0;-9.162.170,56;-71,86%;
 ;( - ) Custo Merc Vendidas - Produtos;7.765.854,97;70,61%;10.850.721,35;71,57%;8.947.344,31;70,10%;-1.903.377,04;-17,5%;8.947.344,31;70,10%;0,00;0;8.947.344,31;70,18%;
 ;CMV Devolução de Vendas;15.749,25;0,14%;25.475,40;0,17%;18.331,43;0,12%;-7.143,98;-28,04;18.331,43;0,12%;0,00;0;18.331,43;0,12%;
 ;MARGEM DE VENDA;2.994.723,47;27,23%;4.079.574,84;26,91%;3.601.736,84;28,22%;-477.837,99;-11,7%;3.601.736,84;28,22%;368.367,82;1,0379;3.587.782,07;28,14%;
 ;DESPESAS VARIAVEIS;462.688,22;4,21%;669.561,70;4,42%;585.596,62;4,59%;-83.965,09;-12,5%;585.596,62;4,59%;0,00;0;585.596,62;4,59%;
 ;( - ) Despesas c/ vendas;41.707,79;0,38%;180.350,14;1,19%;111.271,99;0,87%;-69.078,15;-38,3%;111.271,99;0,87%;0,00;0;111.271,99;0,87%;
 ;( - ) Despesas c/ vendas - Financeiras;146.016,50;1,33%;110.210,41;0,73%;155.226,94;1,22%;45.016,53;40,8%;155.226,94;0,00;0,00;0;155.226,94;1,22%;
 ;( - ) Perdas de Mercadorias;168.687,65;1,53%;208.328,48;1,37%;235.938,63;1,85%;-59.903,47;13,25%;235.938,63;1,85%;0,00;0;235.938,63;1,85%;
 ;( - ) Falta de Mercadorias;592.466,59;5,39%;483.308,08;3,19%;737.227,93;5,78%;253.919,85;52,54%;737.227,93;5,78%;0,00;0;737.227,93;5,78%;
 ;Sobra de Mercadorias;389.156,87;3,54%;191.452,34;1,26%;386.959,42;3,03%;195.507,08;102,12%;386.959,42;3,03%;0,00;0;386.959,42;3,03%;
 ;( - ) PERDAS TOTAL;274.963,93;2,50%;379.001,15;2,50%;319.097,69;2,50%;-59.903,47;-15,8%;319.097,69;2,50%;0,00;0;319.097,69;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.532.035,25;23,02%;3.410.013,14;22,49%;3.016.140,23;23,63%;-393.872,91;-11,6%;3.016.140,23;23,63%;368.367,82;1;3.002.185,45;23,55%;
 ;DESPESAS FIXAS;1.778.463,57;16,17%;2.055.202,70;13,56%;2.096.841,62;16,43%;41.638,92;2,0%;2.096.841,62;16,43%;56.462,14;0,1533;2.015.092,28;15,80%;
 ;( - ) Despesas de Pessoal (Lojas);1.273.415,53;11,58%;1.550.283,32;10,23%;1.456.254,14;11,41%;-94.029,18;-6,1%;1.456.254,14;11,41%;0,00;0;1.456.254,14;12,18%;
 ;( - ) Despesas de Pessoal (Administrativo);77.974,04;0,71%;106.131,84;0,70%;96.624,75;0,76%;-9.507,09;-8,96%;96.624,75;0,76%;0,00;0;96.624,75;0,76%;
 ;( - ) Despesas Tributarias;7.503,60;0,07%;8.220,72;0,05%;7.482,84;0,06%;-737,88;-9,0%;7.482,84;0,06%;780,61;0,0021;8.263,45;0,06%;
 ;( - ) Despesas com Utilidades;122.329,75;1,11%;122.955,51;0,81%;131.823,72;1,03%;8.868,21;7,2%;131.823,72;1,03%;2.505,03;0,0068;134.328,75;1,05%;
 ;( - ) Despesas Manutenção;77.961,00;0,71%;82.045,71;0,54%;74.448,23;0,58%;-7.597,48;-9,3%;74.448,23;0,58%;0,00;0;74.448,23;0,58%;
 ;( - ) Despesas Informática (T.I.);49.016,44;0,45%;48.077,82;0,32%;32.071,33;0,25%;-16.006,49;-33,3%;32.071,33;0,25%;0,00;0;32.071,33;0,25%;
 ;( - ) Despesas Honorarios Terceiros;22.371,73;0,20%;80.710,57;0,53%;72.965,28;0,57%;-7.745,29;-9,6%;72.965,28;0,57%;0,00;0;72.965,28;0,57%;
 ;( - ) Despesas Material Expediente;8.368,66;0,08%;23.819,81;0,16%;25.522,59;0,20%;1.702,78;7,1%;25.522,59;0,20%;0,00;0;25.522,59;0,20%;
 ;( - ) Despesas de Marketing;48.674,37;0,44%;99.564,79;0,66%;69.520,84;0,54%;-30.043,95;-30,2%;69.520,84;0,54%;0,00;0;69.520,84;0,55%;
 ;( - ) Despesas com Veiculos;16.574,42;0,15%;10.885,35;0,07%;32.036,98;0,25%;21.151,63;194,3%;32.036,98;0,25%;0,00;0;32.036,98;0,25%;
 ;( - ) Alugueis;149.338,41;1,36%;128.478,76;0,85%;138.211,48;1,08%;9.732,72;7,6%;138.211,48;1,08%;53.181,00;0,1444;53.181,00;1,08%;
 ;( - ) Despesas Gerais;11.553,50;0,28%;35.033,29;0,23%;40.188,96;0,31%;5.155,67;14,7%;40.188,96;0,31%;0,00;0;40.188,96;0,01%;
 ;( +) Outras Receitas;31.105,81;0,28%;64.593,17;0,43%;44.754,50;0,35%;-19.838,67;-30,7%;44.754,50;0,35%;4,50;0;44.759,00;0,35%;
 ;( +) Bonificação Recebidas;55.512,07;0,50%;176.411,62;1,16%;35.555,02;0,28%;-140.856,60;-79,85;35.555,02;0,28%;0,00;0;35.555,02;0,28%;
 ;DESPESAS OPERACIONAIS;2.241.151,79;20,38%;2.724.764,40;17,97%;2.682.438,23;21,02%;-42.326,17;-1,6%;2.682.438,23;21,02%;56.462,14;0,1533;2.600.688,89;20,40%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;753.571,68;6,85%;1.354.810,44;8,94%;919.298,61;7,20%;-435.511,83;-32,1%;919.298,61;7,20%;311.905,68;0,8467;987.093,17;7,74%;
 ;( - ) Depreciação / Amortização;76.989,90;0,70%;106.120,32;0,70%;89.347,35;0,70%;-16.772,97;-15,8%;89.347,35;0,70%;2.578,57;0,007;91.925,93; ;
 ;EBIT;676.581,78;6,15%;1.248.690,11;8,24%;829.951,26;6,50%;-418.738,86;-33,5%;829.951,26;6,50%;309.327,10;0,8397;895.167,25;7,02%;
 ;( - ) Resultado Financeiro;69.682,93;0,63%;143.269,76;0,95%;46.846,28;0,00%;-96.423,48;-67,3%;46.846,28;0,37%;8.677,82;0,0236;55.524,10; ;
 ;RESULTADO DO PERIODO;606.898,85;5,52%;1.105.420,35;7,29%;783.104,98;6,14%;-322.315,38;-29,2%;783.104,98;6,14%;300.649,28;0,8162;839.643,15;6,59%;
 ;( - ) IRPJ / CSLL;89.539,84;0,81%;35.215,15;0,23%;62.451,50;0,49%;27.236,35;77,3%;62.451,50;0,49%;51.847,91;0,1408;114.299,41; ;
 ;RESULTADO LIQUIDO;517.359,01;4,70%;1.070.205,20;7,06%;720.653,48;5,65%;-349.551,73;-32,7%;720.653,48;5,65%;248.801,37;0,6754;725.343,74;5,69%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;193.539,68;1,76%;397.011,94;2,62%;306.670,09;2,40%;90.341,85;-22,76%; ; ;161.966,00;0,4397;224.524,98; ;
 ;PRO LABORE TUBERTINO;48.827,93;0,44%;32.377,79;0,21%;34.901,64;0,27;2.523,85;-7,23%; ; ;75.000,00;0,2036;109.901,64; ;
 ;PRO LABORE DIEGO;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;25.000,00;0,0679;25.000,00; ;
 ;PRO LABORE THIAGO;0,00;0,00%;1.600,00;0,01%;0,00;0,00%;-1.600,00;-100,00%; ; ;30.983,00;0,0841;30.983,00; ;
 ;PRO LABORE PATRICIA;9.808,70;0,09%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;96.624,75; ;30.983,00;0,0841;30.983,00; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;51.017,30;0,34%;28.332,34;0,22%;-22.684,96;80,07%;1.552.878,89; ;0,00;0;28.332,34; ;
 ;TOTAL;20.000,00;0,18%;386,03;0,00%;-675,00;-0,01%;-1.061,03;-157,19%;1.456.254,14; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;41.709,91;0,38%;4.406,86;0,03%;0,00;0,00%;-4.406,86;-100,00%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;21.709,91;0,20%;4.020,83;0,03%;675,00;0,03%;-3.345,83;495,68%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);114.903,05;1,04%;311.630,82;2,06%;244.111,11;1,61%;-67.519,71;-21,67%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;323.819,33;2,94%;673.193,26;4,44%;413.983,39;3,24%; ; ; ; ;86.835,37;0,2357;500.818,76;3,93%;
 ;EMPRESTIMOS E FINANCIAMENTOS;180.395,38;1,64%;198.652,22;1,31%;197.993,19;1,55%; ; ; ; ;8.714,47;;206.707,66; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;143.423,95;1,30%;474.541,04;3,13%;215.990,20;1,69%; ; ; ; ;78.120,90;;294.111,10; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;10.196.159,41;79,88%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;3.831.982,86; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.260.336,16; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;196.356,68; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;163.375,43; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;18.331,43; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;3.601.736,84; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
