Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Julho/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Jul/25; ;Jun/26; ;Jul/26; ; ; ;Jul/26; ;Jul/26;;Jul/26; ;
 ;RECEITA BRUTA OPERACIONAL;15.547.426,00; ;15.770.956,75; ;18.046.012,42; ;2.275.055,67;14,4%;18.046.012,42; ;445.012,56;0,0002;18.491.024,98; ;
 ;ABATIMENTOS SOBRE VENDAS;403.220,78; ;334.980,22; ;459.559,05; ;124.578,83;37,19;459.559,05; ;0,00;;459.559,05; ;
 ;RECEITA BRUTA EFETIVA (Produtos);15.144.205,22; ;15.435.976,53; ;17.586.453,37; ;2.150.476,84;13,9%;17.586.453,37; ; ;;17.586.453,37; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;445.012,56;; ; ;
 ;IMPOSTOS SOBRE VENDAS;914.563,60;6,45%;958.892,68;6,64%;1.088.606,60;6,61%;129.713,92;13,53;1.088.606,60; ;16.242,96;;1.104.849,56; ;
 ;DEVOLUÇÕES DE VENDA;44.392,89; ;29.433,54; ;32.977,71; ; ; ; ; ; ;;32.977,71; ;
 ;RECEITA OPERACIONAL LIQUIDA;14.185.248,73;100,00%;14.447.650,31;100%;16.464.869,06;100%;2.017.218,75;14,0%;16.464.869,06;100%;428.769,60;1;16.448.626,10;100%;
 ;CMV TOTAL;-10.323.895,69;-72,78%;-10.496.442,04;-72,65%;-11.982.041,07;-72,77%;-1.485.599,03;14,2%;-11.982.041,07;-72,77%;0,00;0;-11.982.041,07;-72,85%;
 ;( - ) Custo Merc Vendidas - Produtos;10.018.220,68;70,62%;10.243.524,56;70,90%;11.707.254,74;71,10%;1.463.730,18;14,3%;11.707.254,74;71,10%;0,00;0;11.707.254,74;71,17%;
 ;CMV Devolução de Vendas;31.017,36;0,22%;19.424,19;0,13%;23.233,53;0,16%;3.809,34;19,61;23.233,53;0,16%;0,00;0;23.233,53;0,16%;
 ;MARGEM DE VENDA;3.861.353,04;27,22%;3.951.208,27;27,35%;4.482.827,99;27,23%;531.619,72;13,5%;4.482.827,99;27,23%;428.769,60;1,0379;4.466.585,03;27,15%;
 ;DESPESAS VARIAVEIS;701.692,36;4,95%;771.438,88;5,34%;727.248,86;4,42%;-44.190,02;-5,7%;727.248,86;4,42%;0,00;0;727.248,86;4,42%;
 ;( - ) Despesas c/ vendas;190.437,52;1,34%;251.293,03;1,74%;150.429,83;0,91%;-100.863,20;-40,1%;150.429,83;0,91%;0,00;0;150.429,83;0,91%;
 ;( - ) Despesas c/ vendas - Financeiras;156.623,62;1,10%;158.954,59;1,10%;165.197,30;1,00%;6.242,71;3,9%;165.197,30;0,00;0,00;0;165.197,30;1,00%;
 ;( - ) Perdas de Mercadorias;113.143,89;0,80%;138.303,57;0,96%;155.723,44;0,95%;50.430,47;12,60%;155.723,44;0,95%;0,00;0;155.723,44;0,95%;
 ;( - ) Falta de Mercadorias;834.062,68;5,88%;423.575,80;2,93%;634.352,85;3,85%;210.777,05;49,76%;634.352,85;3,85%;0,00;0;634.352,85;3,86%;
 ;Sobra de Mercadorias;661.031,32;4,66%;246.077,64;1,70%;438.622,82;2,66%;192.545,18;78,25%;438.622,82;2,66%;0,00;0;438.622,82;2,67%;
 ;( - ) PERDAS TOTAL;354.631,22;2,50%;361.191,26;2,50%;411.621,73;2,50%;50.430,47;14,0%;411.621,73;2,50%;0,00;0;411.621,73;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;3.159.660,68;22,27%;3.179.769,39;22,01%;3.755.579,13;22,81%;575.809,74;18,1%;3.755.579,13;22,81%;428.769,60;1;3.739.336,17;22,73%;
 ;DESPESAS FIXAS;2.062.483,67;14,54%;2.308.707,03;15,98%;2.442.391,13;14,83%;133.684,10;5,8%;2.442.391,13;14,83%;75.717,58;0,1766;2.360.287,11;14,35%;
 ;( - ) Despesas de Pessoal (Lojas);1.575.396,36;11,11%;1.946.969,11;13,48%;1.930.249,04;11,72%;-16.720,07;-0,9%;1.930.249,04;11,72%;0,00;0;1.930.249,04;11,74%;
 ;( - ) Despesas de Pessoal (Administrativo);12.986,00;0,09%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;0,00;0,00%;0,00;0;0,00;0,00%;
 ;( - ) Despesas Tributarias;72.279,76;0,51%;21.195,15;0,15%;55.084,12;0,33%;33.888,97;159,9%;55.084,12;0,33%;16.640,69;0,0388;71.724,81;0,44%;
 ;( - ) Despesas com Utilidades;122.606,52;0,86%;185.767,50;1,29%;187.789,91;1,14%;2.022,41;1,1%;187.789,91;1,14%;1.544,64;0,0036;189.334,55;1,15%;
 ;( - ) Despesas Manutenção;127.776,79;0,90%;52.193,24;0,36%;60.751,30;0,37%;8.558,06;16,4%;60.751,30;0,37%;0,00;0;60.751,30;0,37%;
 ;( - ) Despesas Informática (T.I.);74.681,59;0,53%;53.026,96;0,37%;61.799,51;0,38%;8.772,55;16,5%;61.799,51;0,38%;0,00;0;61.799,51;0,38%;
 ;( - ) Despesas Honorarios Terceiros;18.414,56;0,13%;61.537,72;0,43%;116.015,59;0,70%;54.477,87;88,5%;116.015,59;0,70%;0,00;0;116.015,59;0,71%;
 ;( - ) Despesas Material Expediente;35.991,43;0,25%;48.290,32;0,33%;38.131,82;0,23%;-10.158,50;-21,0%;38.131,82;0,23%;0,00;0;38.131,82;0,23%;
 ;( - ) Despesas de Marketing;81.779,56;0,58%;43.283,15;0,30%;134.647,30;0,82%;91.364,15;211,1%;134.647,30;0,82%;0,00;0;134.647,30;0,82%;
 ;( - ) Despesas com Veiculos;35.398,58;0,25%;23.069,35;0,16%;18.896,04;0,11%;-4.173,31;-18,1%;18.896,04;0,11%;292,35;0,0007;19.188,39;0,12%;
 ;( - ) Alugueis;153.181,00;1,08%;111.070,87;0,77%;157.821,60;0,96%;46.750,73;42,1%;157.821,60;0,96%;57.251,00;0,1335;57.251,00;1,31%;
 ;( - ) Despesas Gerais;16.466,50;0,47%;35.030,79;0,24%;27.921,44;0,17%;-7.109,35;-20,3%;27.921,44;0,17%;0,00;0;27.921,44;0,11%;
 ;( +) Outras Receitas;66.365,58;0,47%;41.898,00;0,29%;143.488,97;0,87%;101.590,97;242,5%;143.488,97;0,87%;11,10;0;143.500,07;0,87%;
 ;( +) Bonificação Recebidas;198.109,40;1,40%;230.829,13;1,60%;203.227,57;1,23%;-27.601,56;-11,96;203.227,57;1,23%;0,00;0;203.227,57;1,24%;
 ;DESPESAS OPERACIONAIS;2.764.176,03;19,49%;3.080.145,91;21,32%;3.169.639,99;19,25%;89.494,08;2,9%;3.169.639,99;19,25%;75.717,58;0,1766;3.087.535,97;18,77%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;EBITDA;1.097.177,01;7,73%;871.062,36;6,03%;1.313.188,00;7,98%;442.125,64;50,8%;1.313.188,00;7,98%;353.052,02;0,8234;1.379.049,06;8,38%;
 ;( - ) Depreciação / Amortização;99.296,74;0,70%;101.133,55;0,70%;115.254,08;0,70%;14.120,53;14,0%;115.254,08;0,70%;3.001,39;0,007;118.255,47; ;
 ;EBIT;997.880,27;7,03%;769.928,81;5,33%;1.197.933,92;7,28%;428.005,11;55,6%;1.197.933,92;7,28%;350.050,63;0,8164;1.260.793,59;7,67%;
 ;( - ) Resultado Financeiro;26.354,36;0,19%;32.850,86;0,23%;34.765,11;0,00%;1.914,25;5,8%;34.765,11;0,21%;4.053,89;0,0095;38.819,00; ;
 ;RESULTADO DO PERIODO;971.525,91;6,85%;737.077,95;5,10%;1.163.168,81;7,06%;426.090,86;57,8%;1.163.168,81;7,06%;345.996,74;0,807;1.221.974,59;7,43%;
 ;( - ) IRPJ / CSLL;71.317,37;0,50%;69.486,14;0,48%;86.616,32;0,53%;17.130,18;24,7%;86.616,32;0,53%;52.473,69;0,1224;139.090,01; ;
 ;RESULTADO LIQUIDO;900.208,54;6,35%;667.591,81;4,62%;1.076.552,49;6,54%;408.960,68;61,3%;1.076.552,49;6,54%;293.523,05;0,6846;1.082.884,58;6,58%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;400.163,71;2,82%;325.614,15;2,25%;303.039,74;1,84%;22.574,41;-6,93%; ; ;247.149,21;0,5764;262.997,99; ;
 ;PRO LABORE TUBERTINO;36.108,69;0,25%;17.676,87;0,12%;12.406,05;0,08;-5.270,82;42,49%; ; ;113.326,80;0,2643;125.732,85; ;
 ;PRO LABORE DIEGO;153,50;0,00%;122,80;0,00%;32,67;0,00%;-90,13;275,88%; ; ;64.470,93;0,1504;64.503,60; ;
 ;PRO LABORE THIAGO;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;34.675,74;0,0809;34.675,74; ;
 ;PRO LABORE PATRICIA;57.505,88;0,41%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;0,00; ;34.675,74;0,0809;34.675,74; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;4.148,24;0,03%;3.094,40;0,02%;-1.053,84;34,06%;1.930.249,04; ;0,00;0;3.094,40; ;
 ;TOTAL;1.674,77;0,01%;1.602,60;0,01%;315,66;0,00%;-1.286,94;407,70%;1.930.249,04; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;2.470,05;0,02%;4.476,79;0,03%;9.521,41;0,06%;5.044,62;-52,98%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;795,28;0,01%;2.874,19;0,02%;9.205,75;0,02%;6.331,56;-68,78%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);304.720,87;2,15%;302.063,64;2,09%;287.190,96;1,99%;-14.872,68;-4,92%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;500.044,83;3,53%;341.977,66;2,37%;773.512,75;4,70%; ; ; ; ;46.373,84;0,1082;819.886,59;4,98%;
 ;EMPRESTIMOS E FINANCIAMENTOS;208.782,32;1,47%;78.424,57;0,54%;79.378,63;0,48%; ; ; ; ;4.553,19;;83.931,82; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;291.262,51;2,05%;263.553,09;1,82%;694.134,12;4,22%; ; ; ; ;41.820,65;;735.954,77; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;13.117.034,27;79,67%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;4.769.546,67; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;4.024.159,12; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;275.952,44; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;205.949,96; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;23.233,53; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;4.482.827,99; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
