Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Junho/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Jun/24; ;Mai/25; ;Jun/25; ; ; ;Jun/25; ;Jun/25;;Jun/25; ;
 ;RECEITA BRUTA OPERACIONAL;14.085.884,40; ;14.850.511,70; ;14.946.277,07; ;95.765,37;0,6%;14.946.277,07; ;406.215,15;0,0003;15.352.492,22; ;
 ;ABATIMENTOS SOBRE VENDAS;181.084,12; ;263.197,96; ;270.208,16; ;7.010,20;2,66;270.208,16; ;0,00;;270.208,16; ;
 ;RECEITA BRUTA EFETIVA (Produtos);13.904.800,28; ;14.587.313,74; ;14.676.068,91; ;88.755,17;0,6%;14.676.068,91; ; ;;14.676.068,91; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;406.215,15;; ; ;
 ;IMPOSTOS SOBRE VENDAS;834.404,36;6,40%;890.262,75;6,52%;890.425,68;6,47%;162,92;0,02;890.425,68; ;14.826,85;;905.252,53; ;
 ;DEVOLUÇÕES DE VENDA;30.692,95; ;47.648,33; ;24.429,97; ; ; ; ; ; ;;24.429,97; ;
 ;RECEITA OPERACIONAL LIQUIDA;13.039.702,97;100,00%;13.649.402,66;100%;13.761.213,26;100%;111.810,61;0,8%;13.761.213,26;100%;391.388,30;1;13.746.386,41;100%;
 ;CMV TOTAL;-9.586.847,20;-73,52%;-9.893.568,87;-72,48%;-10.110.336,62;-73,47%;-216.767,75;2,2%;-10.110.336,62;-73,47%;0,00;0;-10.110.336,62;-73,55%;
 ;( - ) Custo Merc Vendidas - Produtos;9.340.239,30;71,63%;9.636.599,60;70,60%;9.859.422,34;71,65%;222.822,73;2,3%;9.859.422,34;71,65%;0,00;0;9.859.422,34;71,72%;
 ;CMV Devolução de Vendas;22.053,12;0,17%;37.693,79;0,28%;16.697,28;0,12%;-20.996,51;-55,70;16.697,28;0,12%;0,00;0;16.697,28;0,12%;
 ;MARGEM DE VENDA;3.452.855,78;26,48%;3.755.833,78;27,52%;3.650.876,64;26,53%;-104.957,14;-2,8%;3.650.876,64;26,53%;391.388,30;1,0379;3.636.049,79;26,45%;
 ;DESPESAS VARIAVEIS;587.909,71;4,51%;657.712,75;4,82%;702.113,47;5,10%;44.400,73;6,8%;702.113,47;5,10%;0,00;0;702.113,47;5,11%;
 ;( - ) Despesas c/ vendas;145.283,18;1,11%;169.027,10;1,24%;207.246,69;1,51%;38.219,59;22,6%;207.246,69;1,51%;0,00;0;207.246,69;1,51%;
 ;( - ) Despesas c/ vendas - Financeiras;116.633,96;0,89%;147.450,58;1,08%;150.836,45;1,10%;3.385,87;2,3%;150.836,45;0,00;0,00;0;150.836,45;1,10%;
 ;( - ) Perdas de Mercadorias;143.646,32;1,10%;126.004,04;0,92%;99.046,45;0,72%;2.795,27;-21,39%;99.046,45;0,72%;0,00;0;99.046,45;0,72%;
 ;( - ) Falta de Mercadorias;344.332,21;2,64%;325.567,52;2,39%;346.237,22;2,52%;20.669,70;6,35%;346.237,22;2,52%;0,00;0;346.237,22;2,52%;
 ;Sobra de Mercadorias;269.225,25;2,06%;187.240,27;1,37%;185.397,71;1,35%;-1.842,56;-0,98%;185.397,71;1,35%;0,00;0;185.397,71;1,35%;
 ;( - ) PERDAS TOTAL;325.992,57;2,50%;341.235,07;2,50%;344.030,33;2,50%;2.795,27;0,8%;344.030,33;2,50%;0,00;0;344.030,33;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.864.946,06;21,97%;3.098.121,03;22,70%;2.948.763,17;21,43%;-149.357,86;-4,8%;2.948.763,17;21,43%;391.388,30;1;2.933.936,32;21,34%;
 ;DESPESAS FIXAS;1.849.703,71;14,19%;2.151.926,98;15,77%;2.140.348,58;15,55%;-11.578,40;-0,5%;2.140.348,58;15,55%;13.910,20;0,0355;2.042.482,63;14,86%;
 ;( - ) Despesas de Pessoal (Lojas);1.353.926,40;10,38%;1.699.318,00;12,45%;1.646.812,97;11,97%;-52.505,03;-3,1%;1.646.812,97;11,97%;0,00;0;1.646.812,97;12,05%;
 ;( - ) Despesas de Pessoal (Administrativo);96.560,00;0,74%;0,00;0,00%;9.350,00;0,07%;9.350,00;-100,00%;9.350,00;0,07%;0,00;0;9.350,00;0,07%;
 ;( - ) Despesas Tributarias;3.685,90;0,03%;14.096,02;0,10%;21.990,47;0,16%;7.894,45;56,0%;21.990,47;0,16%;0,00;0;21.990,47;0,16%;
 ;( - ) Despesas com Utilidades;122.441,55;0,94%;122.109,03;0,89%;124.100,83;0,90%;1.991,80;1,6%;124.100,83;0,90%;13.670,30;0,0349;137.771,13;1,00%;
 ;( - ) Despesas Manutenção;78.940,82;0,61%;59.523,55;0,44%;61.757,05;0,45%;2.233,50;3,8%;61.757,05;0,45%;0,00;0;61.757,05;0,45%;
 ;( - ) Despesas Informática (T.I.);41.518,25;0,32%;70.633,97;0,52%;68.263,37;0,50%;-2.370,60;-3,4%;68.263,37;0,50%;0,00;0;68.263,37;0,50%;
 ;( - ) Despesas Honorarios Terceiros;31.425,93;0,24%;50.362,15;0,37%;51.417,03;0,37%;1.054,88;2,1%;51.417,03;0,37%;0,00;0;51.417,03;0,37%;
 ;( - ) Despesas Material Expediente;37.918,00;0,29%;33.140,38;0,24%;22.741,61;0,17%;-10.398,77;-31,4%;22.741,61;0,17%;0,00;0;22.741,61;0,17%;
