Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Mar/24; ;Fev/25; ;Mar/25; ; ; ;Mar/25; ;Mar/25;;Mar/25; ;
 ;RECEITA BRUTA OPERACIONAL;13.477.696,76; ;13.437.117,43; ;14.952.272,69; ;1.515.155,26;11,3%;14.952.272,69; ;406.479,28;0,0003;15.358.751,97; ;
 ;ABATIMENTOS SOBRE VENDAS;248.474,85; ;290.042,63; ;264.551,24; ;-25.491,39;-8,79;264.551,24; ;0,00;;264.551,24; ;
 ;RECEITA BRUTA EFETIVA (Produtos);13.229.221,91; ;13.147.074,80; ;14.687.721,45; ;1.540.646,65;11,7%;14.687.721,45; ; ;;14.687.721,45; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;406.479,28;; ; ;
 ;IMPOSTOS SOBRE VENDAS;819.680,76;6,64%;787.953,80;6,39%;884.244,89;6,42%;96.291,08;12,22;884.244,89; ;14.836,49;;899.081,38; ;
 ;DEVOLUÇÕES DE VENDA;71.744,64; ;27.052,39; ;21.386,35; ; ; ; ; ; ;;21.386,35; ;
 ;RECEITA OPERACIONAL LIQUIDA;12.337.796,51;100,00%;12.332.068,61;100%;13.782.090,21;100%;1.450.021,61;11,8%;13.782.090,21;100%;391.642,79;1;13.767.253,72;100%;
 ;CMV TOTAL;-9.097.203,11;-73,73%;-8.887.621,25;-72,07%;-9.920.198,98;-71,98%;-1.032.577,73;11,6%;-9.920.198,98;-71,98%;0,00;0;-9.920.198,98;-72,06%;
 ;( - ) Custo Merc Vendidas - Produtos;8.836.770,50;71,62%;8.675.957,17;70,35%;9.681.301,71;70,25%;1.005.344,54;11,6%;9.681.301,71;70,25%;0,00;0;9.681.301,71;70,32%;
 ;CMV Devolução de Vendas;51.466,27;0,42%;17.751,56;0,14%;14.426,82;0,12%;-3.324,74;-18,73;14.426,82;0,12%;0,00;0;14.426,82;0,12%;
 ;MARGEM DE VENDA;3.240.593,40;26,27%;3.444.447,36;27,93%;3.861.891,23;28,02%;417.443,87;12,1%;3.861.891,23;28,02%;391.642,79;1,0379;3.847.054,74;27,94%;
 ;DESPESAS VARIAVEIS;577.960,28;4,68%;570.644,31;4,63%;674.410,51;4,89%;103.766,20;18,2%;674.410,51;4,89%;0,00;0;674.410,51;4,90%;
 ;( - ) Despesas c/ vendas;154.833,12;1,25%;132.539,56;1,07%;178.611,85;1,30%;46.072,29;34,8%;178.611,85;1,30%;0,00;0;178.611,85;1,30%;
 ;( - ) Despesas c/ vendas - Financeiras;114.682,25;0,93%;129.803,03;1,05%;151.246,40;1,10%;21.443,37;16,5%;151.246,40;0,00;0,00;0;151.246,40;1,10%;
 ;( - ) Perdas de Mercadorias;163.716,15;1,33%;169.638,41;1,38%;168.245,85;1,22%;36.250,54;-0,82%;168.245,85;1,22%;0,00;0;168.245,85;1,22%;
 ;( - ) Falta de Mercadorias;500.961,94;4,06%;374.497,30;3,04%;400.877,89;2,91%;26.380,59;7,04%;400.877,89;2,91%;0,00;0;400.877,89;2,91%;
 ;Sobra de Mercadorias;344.186,85;2,79%;197.774,62;1,60%;178.215,93;1,29%;-19.558,69;-9,89%;178.215,93;1,29%;0,00;0;178.215,93;1,29%;
 ;( - ) PERDAS TOTAL;308.444,91;2,50%;308.301,72;2,50%;344.552,26;2,50%;36.250,54;11,8%;344.552,26;2,50%;0,00;0;344.552,26;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.662.633,12;21,58%;2.873.803,06;23,30%;3.187.480,73;23,13%;313.677,67;10,9%;3.187.480,73;23,13%;391.642,79;1;3.172.644,23;23,04%;
