Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Novembro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Nov/24; ;Out/25; ;Nov/25; ; ; ;Nov/25; ;Nov/25;;Nov/25; ;
 ;RECEITA BRUTA OPERACIONAL;15.631.591,87; ;15.325.423,85; ;14.795.970,29; ;-529.453,56;-3,5%;14.795.970,29; ;418.359,52;0,0003;15.214.329,81; ;
 ;ABATIMENTOS SOBRE VENDAS;905.676,69; ;282.794,06; ;384.532,45; ;101.738,39;35,98;384.532,45; ;0,00;;384.532,45; ;
 ;RECEITA BRUTA EFETIVA (Produtos);14.725.915,18; ;15.042.629,79; ;14.411.437,84; ;-631.191,95;-4,2%;14.411.437,84; ; ;;14.411.437,84; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;418.359,52;; ; ;
 ;IMPOSTOS SOBRE VENDAS;865.126,41;6,26%;893.277,38;6,32%;839.601,63;6,20%;-53.675,75;-6,01;839.601,63; ;15.270,12;;854.871,75; ;
 ;DEVOLUÇÕES DE VENDA;30.411,70; ;20.428,81; ;25.732,10; ; ; ; ; ; ;;25.732,10; ;
 ;RECEITA OPERACIONAL LIQUIDA;13.830.377,07;100,00%;14.128.923,60;100%;13.546.104,11;100%;-582.819,49;-4,1%;13.546.104,11;100%;403.089,40;1;13.530.833,99;100%;
 ;CMV TOTAL;-10.433.281,47;-75,44%;-10.160.900,68;-71,92%;-10.072.180,09;-74,35%;88.720,59;-0,9%;-10.072.180,09;-74,35%;0,00;0;-10.072.180,09;-74,44%;
 ;( - ) Custo Merc Vendidas - Produtos;10.189.524,58;73,67%;9.885.005,22;69,96%;9.815.035,59;72,46%;-69.969,63;-0,7%;9.815.035,59;72,46%;0,00;0;9.815.035,59;72,54%;
 ;CMV Devolução de Vendas;20.913,56;0,15%;13.312,77;0,09%;18.449,37;0,13%;5.136,60;38,58;18.449,37;0,13%;0,00;0;18.449,37;0,13%;
 ;MARGEM DE VENDA;3.397.095,61;24,56%;3.968.022,92;28,08%;3.473.924,02;25,65%;-494.098,91;-12,5%;3.473.924,02;25,65%;403.089,40;1,0379;3.458.653,89;25,56%;
 ;DESPESAS VARIAVEIS;630.320,29;4,56%;615.313,73;4,35%;569.159,44;4,20%;-46.154,29;-7,5%;569.159,44;4,20%;0,00;0;569.159,44;4,21%;
 ;( - ) Despesas c/ vendas;157.005,29;1,14%;100.971,29;0,71%;94.334,79;0,70%;-6.636,50;-6,6%;94.334,79;0,70%;0,00;0;94.334,79;0,70%;
 ;( - ) Despesas c/ vendas - Financeiras;127.555,57;0,92%;161.119,35;1,14%;136.172,05;1,01%;-24.947,30;-15,5%;136.172,05;0,00;0,00;0;136.172,05;1,01%;
 ;( - ) Perdas de Mercadorias;215.043,74;1,55%;118.930,45;0,84%;128.380,26;0,95%;-14.570,49;7,95%;128.380,26;0,95%;0,00;0;128.380,26;0,95%;
 ;( - ) Falta de Mercadorias;402.964,28;2,91%;422.224,65;2,99%;626.731,01;4,63%;204.506,36;48,44%;626.731,01;4,63%;0,00;0;626.731,01;4,63%;
 ;Sobra de Mercadorias;251.497,05;1,82%;302.643,33;2,14%;256.496,44;1,89%;-46.146,89;-15,25%;256.496,44;1,89%;0,00;0;256.496,44;1,90%;
 ;( - ) PERDAS TOTAL;345.759,43;2,50%;353.223,09;2,50%;338.652,60;2,50%;-14.570,49;-4,1%;338.652,60;2,50%;0,00;0;338.652,60;2,50%;
