Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Outubro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;out/24; ;set/25; ;out/25; ; ; ;out/25; ;out/25;;out/25; ;
 ;RECEITA BRUTA OPERACIONAL;14.111.975,07; ;14.675.489,30; ;15.325.423,85; ;649.934,55;4,40%;15.325.423,85; ;432.678,62;0,0003;15.758.102,47; ;
 ;ABATIMENTOS SOBRE VENDAS;207.166,42; ;350.837,09; ;282.794,06; ;-68.043,03;-19,39;282.794,06; ;0;;282.794,06; ;
 ;RECEITA BRUTA EFETIVA (Produtos);13.904.808,65; ;14.324.652,21; ;15.042.629,79; ;717.977,58;5,00%;15.042.629,79; ; ;;15.042.629,79; ;
 ;RECEITA DE SERVIÇOS;0; ;0; ;0; ; ; ;0; ;432.678,62;; ; ;
 ;IMPOSTOS SOBRE VENDAS;846.161,51;6,49%;876.971,18;6,53%;893.277,38;6,32%;16.306,19;1,86;893.277,38; ;15.792,77;;909.070,15; ;
 ;DEVOLUÇÕES DE VENDA;28.453,59; ;26.381,74; ;20.428,81; ; ; ; ; ; ;;20.428,81; ;
 ;RECEITA OPERACIONAL LIQUIDA;13.030.193,55;100,00%;13.421.299,29;100%;14.128.923,60;100%;707.624,32;5,30%;14.128.923,60;100%;416.885,85;1;14.113.130,83;100%;
 ;CMV TOTAL;-9.684.916,95;-74,33%;-9.646.066,49;-71,87%;-10.160.900,68;-71,92%;-514.834,19;5,30%;-10.160.900,68;-71,92%;0;0;-10.160.900,68;-72,00%;
 ;( - ) Custo Merc Vendidas - Produtos;9.424.893,60;72,33%;9.397.934,65;70,02%;9.885.005,22;69,96%;487.070,57;5,20%;9.885.005,22;69,96%;0;0;9.885.005,22;70,04%;
 ;CMV Devolução de Vendas;19.517,19;0,15%;17.427,25;0,13%;13.312,77;0,10%;-4.114,48;-23,61;13.312,77;0,10%;0;0;13.312,77;0,10%;
 ;MARGEM DE VENDA;3.345.276,60;25,67%;3.775.232,79;28,13%;3.968.022,92;28,08%;192.790,13;5,10%;3.968.022,92;28,08%;416.885,85;1,0379;3.952.230,15;28,00%;
 ;DESPESAS VARIAVEIS;612.817,93;4,70%;673.117,12;5,02%;615.313,73;4,35%;-57.803,39;-8,60%;615.313,73;4,35%;0;0;615.313,73;4,36%;
 ;( - ) Despesas c/ vendas;145.271,46;1,11%;159.782,51;1,19%;100.971,29;0,71%;-58.811,22;-36,80%;100.971,29;0,71%;0;0;100.971,29;0,72%;
