Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Setembro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Set/24; ;Ago/25; ;Set/25; ; ; ;Set/25; ;Set/25;;Set/25; ;
 ;RECEITA BRUTA OPERACIONAL;13.448.951,59; ;15.116.226,49; ;14.675.489,30; ;-440.737,19;-2,9%;14.675.489,30; ;416.388,97;0,0003;15.091.878,27; ;
 ;ABATIMENTOS SOBRE VENDAS;186.679,75; ;249.399,58; ;350.837,09; ;101.437,51;40,67;350.837,09; ;0,00;;350.837,09; ;
 ;RECEITA BRUTA EFETIVA (Produtos);13.262.271,84; ;14.866.826,91; ;14.324.652,21; ;-542.174,70;-3,6%;14.324.652,21; ; ;;14.324.652,21; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;416.388,97;; ; ;
 ;IMPOSTOS SOBRE VENDAS;800.780,03;6,44%;901.216,28;6,46%;876.971,18;6,53%;-24.245,09;-2,69;876.971,18; ;15.198,20;;892.169,38; ;
 ;DEVOLUÇÕES DE VENDA;30.385,12; ;23.248,45; ;26.381,74; ; ; ; ; ; ;;26.381,74; ;
 ;RECEITA OPERACIONAL LIQUIDA;12.431.106,69;100,00%;13.942.362,18;100%;13.421.299,29;100%;-521.062,90;-3,7%;13.421.299,29;100%;401.190,77;1;13.406.101,09;100%;
 ;CMV TOTAL;-9.110.191,18;-73,29%;-10.116.372,25;-72,56%;-9.646.066,49;-71,87%;470.305,76;-4,6%;-9.646.066,49;-71,87%;0,00;0;-9.646.066,49;-71,95%;
 ;( - ) Custo Merc Vendidas - Produtos;8.851.458,76;71,20%;9.869.080,84;70,78%;9.397.934,65;70,02%;-471.146,20;-4,8%;9.397.934,65;70,02%;0,00;0;9.397.934,65;70,10%;
 ;CMV Devolução de Vendas;22.203,33;0,18%;15.736,33;0,11%;17.427,25;0,12%;1.690,92;10,75;17.427,25;0,12%;0,00;0;17.427,25;0,12%;
 ;MARGEM DE VENDA;3.320.915,52;26,71%;3.825.989,93;27,44%;3.775.232,79;28,13%;-50.757,14;-1,3%;3.775.232,79;28,13%;401.190,77;1,0379;3.760.034,59;28,05%;
 ;DESPESAS VARIAVEIS;577.434,14;4,65%;653.364,51;4,69%;673.117,12;5,02%;19.752,61;3,0%;673.117,12;5,02%;0,00;0;673.117,12;5,02%;
 ;( - ) Despesas c/ vendas;129.678,63;1,04%;160.247,03;1,15%;159.782,51;1,19%;-464,52;-0,3%;159.782,51;1,19%;0,00;0;159.782,51;1,19%;
 ;( - ) Despesas c/ vendas - Financeiras;136.977,84;1,10%;144.558,43;1,04%;177.802,13;1,32%;33.243,70;23,0%;177.802,13;0,00;0,00;0;177.802,13;1,33%;
 ;( - ) Perdas de Mercadorias;221.305,74;1,78%;102.062,10;0,73%;98.955,65;0,74%;-13.026,57;-3,04%;98.955,65;0,74%;0,00;0;98.955,65;0,74%;
 ;( - ) Falta de Mercadorias;354.924,18;2,86%;524.206,71;3,76%;485.157,32;3,61%;-39.049,39;-7,45%;485.157,32;3,61%;0,00;0;485.157,32;3,62%;
 ;Sobra de Mercadorias;199.912,77;1,61%;279.228,65;2,00%;203.018,97;1,51%;-76.209,68;-27,29%;203.018,97;1,51%;0,00;0;203.018,97;1,51%;
 ;( - ) PERDAS TOTAL;310.777,67;2,50%;348.559,05;2,50%;335.532,48;2,50%;-13.026,57;-3,7%;335.532,48;2,50%;0,00;0;335.532,48;2,50%;
 ;MARGEM DE CONTRIBUIÇÃO;2.743.481,38;22,07%;3.172.625,42;22,76%;3.102.115,67;23,11%;-70.509,75;-2,2%;3.102.115,67;23,11%;401.190,77;1;3.086.917,47;23,03%;
 ;DESPESAS FIXAS;1.818.615,54;14,63%;2.319.922,23;16,64%;2.223.600,57;16,57%;-96.321,66;-4,2%;2.223.600,57;16,57%;59.457,85;0,1482;2.172.319,28;16,20%;
 ;( - ) Despesas de Pessoal (Lojas);1.367.971,08;11,00%;1.703.745,74;12,22%;1.690.262,23;12,59%;-13.483,51;-0,8%;1.690.262,23;12,59%;0,00;0;1.690.262,23;12,61%;
 ;( - ) Despesas de Pessoal (Administrativo);107.812,60;0,87%;9.350,00;0,07%;0,00;0,00%;-9.350,00;-100,00%;0,00;0,00%;0,00;0;0,00;0,00%;
 ;( - ) Despesas Tributarias;13.506,35;0,11%;24.143,23;0,17%;11.218,35;0,08%;-12.924,88;-53,5%;11.218,35;0,08%;0,00;0;11.218,35;0,08%;
 ;( - ) Despesas com Utilidades;118.515,37;0,95%;132.110,22;0,95%;123.336,44;0,92%;-8.773,78;-6,6%;123.336,44;0,92%;1.463,20;0,0036;124.799,64;0,93%;
 ;( - ) Despesas Manutenção;44.936,51;0,36%;300.149,10;2,15%;110.162,97;0,82%;-189.986,13;-63,3%;110.162,97;0,82%;0,00;0;110.162,97;0,82%;
 ;( - ) Despesas Informática (T.I.);47.918,91;0,39%;34.023,30;0,24%;95.348,17;0,71%;61.324,87;180,2%;95.348,17;0,71%;0,00;0;95.348,17;0,71%;
