Financeiro - Controladoria Financeira-Sena;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:101 - Sena e Oliveira;Periodicidade:Mensal;Período:Julho/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;0,00;0,00%; ;(E) Entradas ==>;1.290.261,87;(I) Saldo Inicial ==>;790.243,72;;
 ; ;Vendas Crédito;0,00;0,00%; ;(S) Saídas ==>;1.456.031,83;(F) Saldo Final ==>;624.473,76;;
 ; ;Vendas Débito;0,00;0,00%; ;(=) Ent - Saídas;-165.769,96;(=) Saldo I - Saldo F;-165.769,96;;
 ; ;Vendas Clientes;513.608,05;100,00%; ; ; ; ; ;;
 ; ;Vendas PIX;0,00;0,00%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;0,00;0,00%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;513.608,05;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;0,00;0,00%; ; ; ; ; ;;
 ; ;( - ) Deduções;0,00;0,00%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;513.608,05;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;0,00;0,00%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;513.608,05;100,00%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;18.434,11;3,59%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;0,00;0,00%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;0,00;0,00%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;0,00;0,00%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;5,40;0,00%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;0,00;0,00%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;0,00;0,00%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;0,00;0,00%; ; ; ; ; ;;
 ; ;Lucro Bruto;495.179,34;96,41%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;5.074,56;0,99%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;0,00;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;0,00;0,00%; ; ; ; ; ;;
 ; ;Despesas Administrativas;5.112,30;1,00%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;0,00;0,00%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;0,00;0,00%; ; ; ; ; ;;
 ; ;Alugueis;54.031,00;10,52%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;0,00;0,00%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;0,00;0,00%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;64.217,86;12,50%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;430.961,48;83,91%; ; ; ; ; ;;
 ; ;Resultado Financeiro;9.143,43;1,78%; ; ; ; ; ;;
 ; ;Receita Financeira;9.686,34;1,89%; ; ; ; ; ;;
 ; ;Despesas Financeiras;542,91;0,11%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;440.104,91;85,69%; ; ; ; ; ;;
 ; ;Imposto de Renda;52.601,50;10,24%; ; ; ; ; ;;
 ; ;Lucro Líquido;387.503,41;75,45%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;583.255,71;113,56%; ; ; ; ; ;;
 ; ;SAÍDAS;583.255,71;113,56%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;36.969,98;7,20%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;546.285,73;106,36%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,00;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos;0,00;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;54.750,00;10,66%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;54.750,00; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;0,00; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;-200.833,34;-39,10%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;60.166,66; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;261.000,00; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;-49.668,96;-9,67%; ; ; ; ; ;;
 ; ;Acionistas;116.101,00;22,60%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;-165.769,96;-32,28%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;0,00; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;0,00; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;-165.769,96; ; ; ; ; ; ;;
 ; ; ; ; ; ; ;Entradas - Total; ;111607/Resgate;0;
 ; ; ; ; ; ; ;Resgate;0,00;112101/ Clientes a Receber;0;
 ; ; ; ; ; ; ;111801/Capital de Giro;0,00;112150/Pix;0;
 ; ; ; ; ; ; ;111101/Movimento Caixa;0,00;112210/Convênio Tejotão;0;
 ; ; ; ; ; ; ;112101/Clientes a Receber;513.608,05;112220/ G & C Hoteis;0;
 ; ; ; ; ; ; ;112103/Clientes Boletos;0,00;112230/ Tejotão Card 25;0;
 ; ; ; ; ; ; ;112111/Ifood;0,00;112231/ Pereira & Sales Loterias;0;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;0;
 ; ; ; ; ; ; ;112150/Pix;0,00;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;0,00;112244/Rossini;0;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;1.182,50; ; ; ;112230/ Tejotão Card 25;0,00;112251/ Pelegrine e Silva;0;
 ; ; ; ; ; ; ;112231/Pereira & Sales;0,00;112252/ Livio Rinzler e Outros;0;
 ; ;Serviços Normais;1.182,50; ; ; ;112232/A Regional;0,00;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;0,00; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;0;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;0,00;112302/Debito-Alelo Ali;0;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;0;
 ; ; ; ; ; ; ;112244/Rossini;0,00;112308/Debito-Elo;0;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;0,00;112312/Debito - Maestro;0;
 ; ; ; ; ; ; ;112249/Doações a receber;0,00;112319/Debito- Sodexo  Alim;0;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;0,00;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;0,00;112321/Debito - Ticket Alim;0;
 ; ; ; ; ; ; ;112252/Livio Rinzler;0,00;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;0,00;112323/Debito - Ticket Flex;0;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;0;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;0,00;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;0,00;112329/Debito - VR Ali;0;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;0,00;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;0,00;112350/Credito -AMEX;0;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;0,00;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;0,00;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;0,00;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;0,00;112357/Credito - Elo;0;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;0,00;112361/Credito - Mastercard;0;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;0;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;0,00;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;0,00;112375/Credito - Policard/Up Brasil;0;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;0,00;112379/Credito - Tricard;0;
