Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.632.398,18;17,96%; ;(E) Entradas ==>;16.063.867,97;(I) Saldo Inicial ==>;2.068.770,80;;
 ; ;Vendas Crédito;4.770.358,81;32,55%; ;(S) Saídas ==>;16.487.024,60;(F) Saldo Final ==>;1.645.614,17;;
 ; ;Vendas Débito;4.986.345,94;34,02%; ;(=) Ent - Saídas;-423.156,63;(=) Saldo I - Saldo F;-423.156,63;;
 ; ;Vendas Clientes;742.095,32;5,06%; ; ; ; ; ;;
 ; ;Vendas PIX;1.380.237,32;9,42%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;145.067,53;0,99%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.656.503,10;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;346.068,44;2,36%; ; ; ; ; ;;
 ; ;( - ) Deduções;14.964,25;0,10%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;14.295.470,41;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;11.265.208,20;78,80%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.030.262,21;21,20%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;437.931,60;3,06%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;40.323,84;0,28%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;69.544,56;0,49%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;109.868,40;0,77%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;20.448,76;0,14%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;15.265,86;0,11%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;869,69;0,01%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;1.819,27;0,01%; ; ; ; ; ;;
 ; ;Lucro Bruto;2.706.432,33;18,93%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;16.580,13;0,12%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;1.152,07;0,01%; ; ; ; ; ;;
 ; ;Fretes;171,38;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.313.296,00;9,19%; ; ; ; ; ;;
 ; ;Despesas Administrativas;687.984,09;4,81%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;9.293,00;0,07%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;3.346,11;0,02%; ; ; ; ; ;;
 ; ;Alugueis;447.911,05;3,13%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;163.127,91;1,14%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;231,02;0,00%; ; ; ; ; ;;
