Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.607.580,81;17,83%; ;(E) Entradas ==>;14.990.473,38;(I) Saldo Inicial ==>;1.486.207,81;;
 ; ;Vendas Crédito;4.475.761,71;30,60%; ;(S) Saídas ==>;14.516.525,64;(F) Saldo Final ==>;1.960.155,55;;
 ; ;Vendas Débito;5.045.732,70;34,49%; ;(=) Ent - Saídas;473.947,74;(=) Saldo I - Saldo F;473.947,74;;
 ; ;Vendas Clientes;733.351,31;5,01%; ; ; ; ; ;;
 ; ;Vendas PIX;1.667.365,72;11,40%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;98.932,41;0,68%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.628.724,66;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;248.068,39;1,70%; ; ; ; ; ;;
 ; ;( - ) Deduções;22.209,83;0,15%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;14.358.446,44;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;10.712.717,43;74,61%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.645.729,01;25,39%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;393.029,29;2,74%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;25.040,85;0,17%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;90.351,10;0,63%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;115.391,95;0,80%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;28.219,78;0,20%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;51.027,41;0,36%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;1.231,29;0,01%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;3.894,08;0,03%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.342.621,25;23,28%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;16.577,62;0,12%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;2.895,89;0,02%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.456.144,83;10,14%; ; ; ; ; ;;
 ; ;Despesas Administrativas;676.686,04;4,71%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;7.566,85;0,05%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;2.725,06;0,02%; ; ; ; ; ;;
 ; ;Alugueis;89.117,30;0,62%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;152.383,08;1,06%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;534,88;0,00%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.403.561,79;16,74%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;939.059,46;6,54%; ; ; ; ; ;;
 ; ;Resultado Financeiro;3.271,36;0,02%; ; ; ; ; ;;
 ; ;Receita Financeira;7.649,21;0,05%; ; ; ; ; ;;
 ; ;Despesas Financeiras;4.377,85;0,03%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;942.330,82;6,56%; ; ; ; ; ;;
 ; ;Imposto de Renda;60.073,57;0,42%; ; ; ; ; ;;
 ; ;Lucro Líquido;882.257,25;6,14%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;382.789,91;2,67%; ; ; ; ; ;;
 ; ;SAÍDAS;382.789,91;2,67%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;84.666,08;0,59%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;298.123,81;2,08%; ; ; ; ; ;;
