Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.723.891,83;18,88%; ;(E) Entradas ==>;14.843.209,40;(I) Saldo Inicial ==>;1.012.144,12;;
 ; ;Vendas Crédito;4.618.007,82;32,01%; ;(S) Saídas ==>;14.426.243,49;(F) Saldo Final ==>;1.429.110,03;;
 ; ;Vendas Débito;4.764.369,70;33,03%; ;(=) Ent - Saídas;416.965,91;(=) Saldo I - Saldo F;416.965,91;;
 ; ;Vendas Clientes;730.750,14;5,07%; ; ; ; ; ;;
 ; ;Vendas PIX;1.422.787,95;9,86%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;166.274,58;1,15%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.426.082,02;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;306.496,55;2,12%; ; ; ; ; ;;
 ; ;( - ) Deduções;11.044,18;0,08%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;14.108.541,29;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;10.213.827,09;72,39%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.894.714,20;27,61%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;393.372,01;2,79%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;67.007,57;0,47%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;34.243,86;0,24%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;101.251,43;0,72%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;33.800,50;0,24%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;285.610,18;2,02%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;1.917,47;0,01%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;1.135,10;0,01%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.351.566,31;23,76%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;25.426,13;0,18%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;1.642,42;0,01%; ; ; ; ; ;;
 ; ;Fretes;1.135,04;0,01%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.378.096,93;9,77%; ; ; ; ; ;;
 ; ;Despesas Administrativas;743.004,51;5,27%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;12.917,20;0,09%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;3.348,82;0,02%; ; ; ; ; ;;
 ; ;Alugueis;50.000,00;0,35%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;147.938,10;1,05%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;1.395,90;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.362.113,25;16,74%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;989.453,06;7,01%; ; ; ; ; ;;
 ; ;Resultado Financeiro;10.987,65;0,08%; ; ; ; ; ;;
 ; ;Receita Financeira;17.525,68;0,12%; ; ; ; ; ;;
 ; ;Despesas Financeiras;6.538,03;0,05%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;1.000.440,71;7,09%; ; ; ; ; ;;
 ; ;Imposto de Renda;71.317,37;0,51%; ; ; ; ; ;;
 ; ;Lucro Líquido;929.123,34;6,59%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;373.618,60;2,65%; ; ; ; ; ;;
 ; ;SAÍDAS;373.618,60;2,65%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;233.996,55;1,66%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;139.621,99;0,99%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,06;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
