Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.965.623,82;16,91%; ;(E) Entradas ==>;18.742.298,66;(I) Saldo Inicial ==>;1.188.820,28;;
 ; ;Vendas Crédito;5.633.458,77;32,13%; ;(S) Saídas ==>;18.125.238,08;(F) Saldo Final ==>;1.805.880,86;;
 ; ;Vendas Débito;5.940.755,09;33,88%; ;(=) Ent - Saídas;617.060,58;(=) Saldo I - Saldo F;617.060,58;;
 ; ;Vendas Clientes;761.743,18;4,34%; ; ; ; ; ;;
 ; ;Vendas PIX;2.138.804,09;12,20%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;94.045,86;0,54%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;17.534.430,81;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;262.785,45;1,50%; ; ; ; ; ;;
 ; ;( - ) Deduções;30.312,32;0,17%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;17.241.333,04;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;12.355.349,59;71,66%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;4.885.983,45;28,34%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;482.682,35;2,80%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;133.783,51;0,78%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;73.735,34;0,43%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;207.518,85;1,20%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;23.144,89;0,13%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;78.101,62;0,45%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;3.020,13;0,02%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;2.181,96;0,01%; ; ; ; ; ;;
 ; ;Lucro Bruto;4.556.701,39;26,43%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;19.573,57;0,11%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;499,46;0,00%; ; ; ; ; ;;
 ; ;Fretes;44,34;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.818.901,28;10,55%; ; ; ; ; ;;
 ; ;Despesas Administrativas;993.910,18;5,76%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;9.136,25;0,05%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;4.381,29;0,03%; ; ; ; ; ;;
 ; ;Alugueis;976.971,96;5,67%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;176.669,26;1,02%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;1.835,83;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;3.998.251,76;23,19%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;558.449,63;3,24%; ; ; ; ; ;;
 ; ;Resultado Financeiro;-1.034,71;-0,01%; ; ; ; ; ;;
 ; ;Receita Financeira;4.617,22;0,03%; ; ; ; ; ;;
 ; ;Despesas Financeiras;5.651,93;0,03%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;557.414,92;3,23%; ; ; ; ; ;;
 ; ;Imposto de Renda;86.616,32;0,50%; ; ; ; ; ;;
 ; ;Lucro Líquido;470.798,60;2,73%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;-153.202,47;-0,89%; ; ; ; ; ;;
 ; ;SAÍDAS;-153.202,47;-0,89%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;84.491,89;0,49%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;122.305,63;0,71%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,01;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos;360.000,00;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;-29.801,04;-0,17%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;23.486,77; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;53.287,81; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;8.485,18;0,05%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;41.777,78; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;33.292,60; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;645.316,93;3,74%; ; ; ; ; ;;
 ; ;Acionistas;26.919,24;0,16%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;618.397,69;3,59%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;49.371,70; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;50.708,81; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;617.060,58; ; ; ;Entradas - Total; ; ;;
 ; ; ; ; ; ; ;Resgate;0,00;111607/Resgate;0;
 ; ; ; ; ; ; ;111101/Movimento Caixa;3.014.963,93;112101/ Clientes a Receber;81927,36;
 ; ; ; ; ; ; ;111801/Capital de Giro;360.000,00;112150/Pix;15733,91;
 ; ; ; ; ; ; ;112101/Clientes a Receber;312.077,22;112210/Convênio Tejotão;0;
 ; ; ; ; ; ; ;112103/Clientes Boletos;46.709,44;112220/ G & C Hoteis;0;
 ; ; ; ; ; ; ;112111/Ifood;17.066,39;112230/ Tejotão Card 25;1472,98;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112231/ Pereira & Sales Loterias;0;
 ; ; ; ; ; ; ;112150/Pix;2.138.804,09;112232/A Regional;4195,18;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112233/Maiuna Teen 2;1158,47;
 ; ; ; ; ; ; ;112213/Tejotão Card;27.338,26;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112230/ Tejotão Card 25;15.336,46;112244/Rossini;0;
 ; ;VALIDAÇÃO 211104;222.624,45; ; ; ;112231/Pereira & Sales;0,00;112250/Tejotao Card - Cartoes;0;
 ; ; ; ; ; ; ;112232/A Regional;6.878,01;112251/ Pelegrine e Silva;3890,72;
