Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Dezembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.884.485,94;16,64%; ;(E) Entradas ==>;17.853.962,76;(I) Saldo Inicial ==>;1.803.210,14;;
 ; ;Vendas Crédito;5.261.608,66;30,36%; ;(S) Saídas ==>;16.549.624,11;(F) Saldo Final ==>;3.107.548,79;;
 ; ;Vendas Débito;6.140.854,51;35,43%; ;(=) Ent - Saídas;1.304.338,65;(=) Saldo I - Saldo F;1.304.338,65;;
 ; ;Vendas Clientes;858.585,02;4,95%; ; ; ; ; ;;
 ; ;Vendas PIX;2.044.785,86;11,80%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;141.524,46;0,82%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;17.331.844,45;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;334.493,03;1,93%; ; ; ; ; ;;
 ; ;( - ) Deduções;21.604,66;0,12%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;16.975.746,76;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;11.727.910,41;69,09%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;5.247.836,35;30,91%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;387.340,45;2,28%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;76.499,71;0,45%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;69.219,78;0,41%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;145.719,49;0,86%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;52.260,24;0,31%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;78.265,73;0,46%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;0,00;0,00%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;673,05;0,00%; ; ; ; ; ;;
 ; ;Lucro Bruto;4.979.536,85;29,33%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;24.405,11;0,14%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,96;0,00%; ; ; ; ; ;;
 ; ;Fretes;127,56;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;2.163.097,32;12,74%; ; ; ; ; ;;
 ; ;Despesas Administrativas;866.633,11;5,11%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;29.410,30;0,17%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;2.551,61;0,02%; ; ; ; ; ;;
 ; ;Alugueis;325,00;0,00%; ; ; ; ; ;;
