Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.400.395,17;16,97%; ;(E) Entradas ==>;14.568.883,76;(I) Saldo Inicial ==>;1.805.192,87;;
 ; ;Vendas Crédito;4.317.080,33;30,53%; ;(S) Saídas ==>;15.002.083,57;(F) Saldo Final ==>;1.371.993,06;;
 ; ;Vendas Débito;4.553.576,55;32,20%; ;(=) Ent - Saídas;-433.199,81;(=) Saldo I - Saldo F;-433.199,81;;
 ; ;Vendas Clientes;1.273.955,08;9,01%; ; ; ; ; ;;
 ; ;Vendas PIX;1.460.445,06;10,33%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;135.396,51;0,96%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.140.848,70;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;266.495,59;1,88%; ; ; ; ; ;;
 ; ;( - ) Deduções;4.984,99;0,04%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;13.869.368,12;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;9.894.884,85;71,34%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.974.483,27;28,66%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;382.510,95;2,76%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;77.907,27;0,56%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;41.561,43;0,30%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;119.468,70;0,86%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;28.256,21;0,20%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;1.359,72;0,01%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;2.552,31;0,02%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;9.258,96;0,07%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.731.630,86;26,91%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;23.028,06;0,17%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;29,00;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.441.652,34;10,39%; ; ; ; ; ;;
 ; ;Despesas Administrativas;665.799,55;4,80%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;12.260,80;0,09%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;1.905,29;0,01%; ; ; ; ; ;;
 ; ;Alugueis;1.394.110,86;10,05%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;152.300,24;1,10%; ; ; ; ; ;;
