Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Janeiro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.724.225,25;18,32%; ;(E) Entradas ==>;15.771.449,47;(I) Saldo Inicial ==>;1.855.350,67;;
 ; ;Vendas Crédito;4.866.038,44;32,73%; ;(S) Saídas ==>;16.108.745,55;(F) Saldo Final ==>;1.518.054,59;;
 ; ;Vendas Débito;5.146.473,49;34,62%; ;(=) Ent - Saídas;-337.296,08;(=) Saldo I - Saldo F;-337.296,08;;
 ; ;Vendas Clientes;789.249,48;5,31%; ; ; ; ; ;;
 ; ;Vendas PIX;1.188.224,83;7,99%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;153.536,15;1,03%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.867.747,64;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;347.238,19;2,34%; ; ; ; ; ;;
 ; ;( - ) Deduções;18.544,10;0,12%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;14.501.965,35;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;11.993.488,98;82,70%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;2.508.476,37;17,30%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;392.779,61;2,71%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;47.873,35;0,33%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;81.518,78;0,56%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;129.392,13;0,89%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;445.108,26;3,07%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;3.529,78;0,02%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;675,00;0,00%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;0,00;0,00%; ; ; ; ; ;;
 ; ;Lucro Bruto;2.687.342,37;18,53%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;12.218,33;0,08%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;571,89;0,00%; ; ; ; ; ;;
 ; ;Fretes;15.561,05;0,11%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.427.902,95;9,85%; ; ; ; ; ;;
 ; ;Despesas Administrativas;599.626,38;4,13%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;16.353,35;0,11%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;4.004,24;0,03%; ; ; ; ; ;;
 ; ;Alugueis;134.487,27;0,93%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;158.954,90;1,10%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;0,93;0,00%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.369.679,43;16,34%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;317.662,94;2,19%; ; ; ; ; ;;
 ; ;Resultado Financeiro;6.327,86;0,04%; ; ; ; ; ;;
 ; ;Receita Financeira;14.466,28;0,10%; ; ; ; ; ;;
 ; ;Despesas Financeiras;8.138,42;0,06%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;323.990,80;2,23%; ; ; ; ; ;;
 ; ;Imposto de Renda;35.215,15;0,24%; ; ; ; ; ;;
 ; ;Lucro Líquido;288.775,65;1,99%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;623.531,99;4,30%; ; ; ; ; ;;
 ; ;SAÍDAS;623.531,99;4,30%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;505.321,28;3,48%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;118.210,68;0,82%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,03;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;147,37;0,00%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;48.545,00; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;48.397,63; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;-65.823,57;-0,45%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;19.550,00; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;85.373,57; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;-269.080,14;-1,86%; ; ; ; ; ;;
 ; ;Acionistas;63.283,98;0,44%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;-332.364,12;-2,29%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;68.747,65; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;73.679,61; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;-337.296,08; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ;111607/Resgate;0;
 ; ; ; ; ; ; ;Entradas - Total; ;112101/ Clientes a Receber;97453,81;
 ; ; ; ; ; ; ;Resgate;0,00;112150/Pix;13411,23;
 ; ; ; ; ; ; ;111101/Movimento Caixa;2.792.970,95;112210/Convênio Tejotão;0;
 ; ; ; ; ; ; ;112101/Clientes a Receber;281.835,40;112220/ G & C Hoteis;5071,29;
 ; ; ; ; ; ; ;112103/Clientes Boletos;69.588,30;112230/ Tejotão Card 25;688,14;
 ; ; ; ; ; ; ;112111/Ifood;10.389,88;112231/ Pereira & Sales Loterias;605,76;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;3170,12;
 ; ; ; ; ; ; ;112150/Pix;1.188.224,83;112238/ Parana Veiculos;173,26;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;8106;
 ; ; ; ; ; ; ;112213/Tejotão Card;41.481,73;112244/Rossini;8966,61;
 ; ; ; ; ; ; ;112220/GC Hoteis;9.634,31;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;145.587,19; ; ; ;112230/ Tejotão Card 25;13.554,33;112251/ Pelegrine e Silva;3500,71;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.211,52;112252/ Livio Rinzler e Outros;6401,62;
 ; ;Serviços Normais;143.468,54; ; ; ;112232/A Regional;7.403,19;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.604,08; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
