Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Julho/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.757.805,12;17,89%; ;(E) Entradas ==>;16.140.648,81;(I) Saldo Inicial ==>;2.358.541,18;;
 ; ;Vendas Crédito;5.127.795,06;33,26%; ;(S) Saídas ==>;17.487.045,87;(F) Saldo Final ==>;1.012.144,12;;
 ; ;Vendas Débito;5.074.335,60;32,92%; ;(=) Ent - Saídas;-1.346.397,06;(=) Saldo I - Saldo F;-1.346.397,06;;
 ; ;Vendas Clientes;836.962,59;5,43%; ; ; ; ; ;;
 ; ;Vendas PIX;1.482.169,01;9,61%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;136.218,04;0,88%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;15.415.285,42;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;368.072,02;2,39%; ; ; ; ; ;;
 ; ;( - ) Deduções;32.513,65;0,21%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;15.014.699,75;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;12.615.808,96;84,02%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;2.398.890,79;15,98%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;379.054,73;2,52%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;74.964,95;0,50%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;66.864,98;0,45%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;141.829,93;0,94%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;30.096,90;0,20%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;11.149,19;0,07%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;795,28;0,01%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;2.470,05;0,02%; ; ; ; ; ;;
 ; ;Lucro Bruto;2.178.938,93;14,51%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;29.139,97;0,19%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;120.485,10;0,80%; ; ; ; ; ;;
 ; ;Fretes;2.816,99;0,02%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.372.163,03;9,14%; ; ; ; ; ;;
 ; ;Despesas Administrativas;731.650,42;4,87%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;17.433,75;0,12%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;3.604,44;0,02%; ; ; ; ; ;;
 ; ;Alugueis;462.620,00;3,08%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;160.525,71;1,07%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;1.239,85;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.899.199,56;19,31%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;-720.260,63;-4,80%; ; ; ; ; ;;
 ; ;Resultado Financeiro;16.975,34;0,11%; ; ; ; ; ;;
 ; ;Receita Financeira;25.609,57;0,17%; ; ; ; ; ;;
 ; ;Despesas Financeiras;8.634,23;0,06%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;-703.285,29;-4,68%; ; ; ; ; ;;
 ; ;Imposto de Renda;58.031,50;0,39%; ; ; ; ; ;;
 ; ;Lucro Líquido;-761.316,79;-5,07%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;462.987,15;3,08%; ; ; ; ; ;;
 ; ;SAÍDAS;462.987,15;3,08%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;234.092,78;1,56%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;228.894,34;1,52%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,03;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
