Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Julho/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;3.086.764,48;17,88%; ;(E) Entradas ==>;17.953.823,42;(I) Saldo Inicial ==>;2.616.474,23;;
 ; ;Vendas Crédito;5.089.248,45;29,48%; ;(S) Saídas ==>;19.381.477,37;(F) Saldo Final ==>;1.188.820,28;;
 ; ;Vendas Débito;6.098.127,28;35,32%; ;(=) Ent - Saídas;-1.427.653,95;(=) Saldo I - Saldo F;-1.427.653,95;;
 ; ;Vendas Clientes;729.369,01;4,22%; ; ; ; ; ;;
 ; ;Vendas PIX;2.137.640,11;12,38%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;124.859,00;0,72%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;17.266.008,33;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;303.945,07;1,76%; ; ; ; ; ;;
 ; ;( - ) Deduções;21.072,39;0,12%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;16.940.990,87;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;14.357.541,46;84,75%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;2.583.449,41;15,25%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;318.552,79;1,88%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;84.793,82;0,50%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;52.302,83;0,31%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;137.096,65;0,81%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;40.870,45;0,24%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;11.764,25;0,07%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;9.205,75;0,05%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;9.521,41;0,06%; ; ; ; ; ;;
 ; ;Lucro Bruto;2.430.783,81;14,35%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;19.886,37;0,12%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;1.704,00;0,01%; ; ; ; ; ;;
 ; ;Fretes;220,00;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.787.711,01;10,55%; ; ; ; ; ;;
 ; ;Despesas Administrativas;974.233,10;5,75%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;8.273,00;0,05%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;1.996,41;0,01%; ; ; ; ; ;;
 ; ;Alugueis;391.200,63;2,31%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;171.267,95;1,01%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;2.113,80;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;3.354.378,67;19,80%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;-923.594,86;-5,45%; ; ; ; ; ;;
 ; ;Resultado Financeiro;2.672,09;0,02%; ; ; ; ; ;;
 ; ;Receita Financeira;6.670,41;0,04%; ; ; ; ; ;;
 ; ;Despesas Financeiras;3.998,32;0,02%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;-920.922,77;-5,44%; ; ; ; ; ;;
 ; ;Imposto de Renda;69.486,14;0,41%; ; ; ; ; ;;
 ; ;Lucro Líquido;-990.408,91;-5,85%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;329.835,88;1,95%; ; ; ; ; ;;
 ; ;SAÍDAS;329.835,88;1,95%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;84.537,56;0,50%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;245.298,30;1,45%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,02;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;77.423,41;0,46%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;93.157,74; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;15.734,33; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;15.167,52;0,09%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;33.488,16; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;18.320,64; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;-1.412.835,72;-8,34%; ; ; ; ; ;;
 ; ;Acionistas;15.533,12;0,09%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;-1.428.368,84;-8,43%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;51.011,67; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;50.296,78; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;-1.427.653,95; ; ; ; ; ; ;;
 ; ; ; ; ; ; ;Entradas - Total; ;111607/Resgate;0;
 ; ; ; ; ; ; ;Resgate;0,00;112101/ Clientes a Receber;74280,63;
 ; ; ; ; ; ; ;111101/Movimento Caixa;3.137.752,36;112150/Pix;31015,59;
 ; ; ; ; ; ; ;112101/Clientes a Receber;305.906,59;112210/Convênio Tejotão;0;
 ; ; ; ; ; ; ;112103/Clientes Boletos;52.445,53;112220/ G & C Hoteis;0;
 ; ; ; ; ; ; ;112111/Ifood;17.155,85;112230/ Tejotão Card 25;2036,89;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112231/ Pereira & Sales Loterias;0;
 ; ; ; ; ; ; ;112150/Pix;2.137.640,11;112232/A Regional;2682,83;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;22.254,84;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112244/Rossini;5512,84;
 ; ; ; ; ; ; ;112230/ Tejotão Card 25;12.528,63;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;210.265,92; ; ; ;112231/Pereira & Sales;0,00;112251/ Pelegrine e Silva;5107,63;
 ; ; ; ; ; ; ;112232/A Regional;6.540,26;112252/ Livio Rinzler e Outros;6949,52;
 ; ;Serviços Normais;208.951,68; ; ; ;112233/Maiuna Teen 2;0,10;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;0,00; ; ; ;112234/Sombra Lubrificantes;7.230,65;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;26868,82;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;0,00;112302/Debito-Alelo Ali;1717,92;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;2276,7;
 ; ; ; ; ; ; ;112244/Rossini;12.080,22;112308/Debito-Elo;4727,92;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;147.797,76;112312/Debito - Maestro;12692;
 ; ; ; ; ; ; ;112249/Doações a receber;1.996,41;112319/Debito- Sodexo  Alim;4237,82;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;10.549,17;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;10.215,26;112321/Debito - Ticket Alim;1904,99;
 ; ; ; ; ; ; ;112252/Livio Rinzler;12.490,60;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;45.436,27;112323/Debito - Ticket Flex;508,21;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;30683,13;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;46.725,38;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;5.960,76;112329/Debito - VR Ali;3696,47;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;12.054,73;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;26.868,82;112350/Credito -AMEX;2087,3;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;121.631,43;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;172.013,84;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;647.976,34;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.951.748,56;112357/Credito - Elo;19642,11;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;243.179,05;112361/Credito - Mastercard;41907,89;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;16,84;112372/Credito - Visa;20420,75;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;125.521,17;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;0,00;112375/Credito - Policard/Up Brasil;478,21;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;4.191,75;112379/Credito - Tricard;0;
 ; ; ; ; ; ; ;112324/Ticket Alimentação Auxilio (AA);32.494,71;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112325/Ticket Restaurante Auxilio (AA);3.988,15;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.293.531,06;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;21.036,39;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112328/Ticket Flex Auxilio (AA);1.836,70;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;106.098,29;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;34.082,70;112399/POS;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112417/Credito - Sysprocard;76,89;
 ; ; ; ; ; ; ;112332/Pluxee Alimentação Auxilio (AA);103.034,21;112501/Cheque AV;21003,56;
 ; ; ; ; ; ; ;112333/Pluxee Refeição Auxilio (AA);5.619,18;112502/Cheque Pre;8297,27;
 ; ; ; ; ; ; ;112334/Pluxee Gift/Premium Auxilio (AA);1.142,88;112503/Cheque devolvido;9521,41;
 ; ; ; ; ; ; ;112335/VR Alimentação Auxilio (AA);100.760,27;112703/ Devolução de Mercadoria a Receber - RCM;7226,21;
 ; ; ; ; ; ; ;112336/VR Refeição Auxilio (AA);590,00;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112337/Alelo Refeição Auxilio (AA);2.589,73;112985/IRRF a Compensar;129,26;
 ; ; ; ; ; ; ;112338/Alelo Alimentação Auxilio (AA);34.938,00;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;25.856,99;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;211101/Fornec. p/ Revenda;14357541,46;
 ; ; ; ; ; ; ;112352/Credito - Cabal;0,00;211102/Fornec p/ Consumo;317708,09;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;0,00;211103/Fornec de Serviços;447573,33;
 ; ; ; ; ; ; ;112357/Credito - Elo;492.591,02;211104/Faturas a Pagar;208951,68;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;59.715,33;211105/Fretes a Pagar;220;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;211109/Fornecedor de Investimento;12236,39;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.713.683,15;211110/Fornec desp gerais;8273;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.692.598,76;211201/Obrig Imobilizado;232961,91;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;45.227,17;211301/Salários e Ordenado;622798,89;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;67.008,52;211302/Férias a Pagar;82328,33;
 ; ; ; ; ; ; ;112379/Credito - Tricard;49.301,63;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112380/Debito -VR ref;15.403,84;211304/Verbas Resc a Pagar;60777,95;
 ; ; ; ; ; ; ;112381/Debito - Cabal;14.986,86;211305/Sindicatos a Pagar;872,12;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211306/Pensão Alimentícia;2519,95;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211307/Adiant a Func;281002,27;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;412,25;211309/Adto 13º Salário;6175,25;
 ; ; ; ; ; ; ;112398/Pic Pay;0,00;211410/Outras Obrig Trabal a Pagar;89977,12;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.568,96;211501/ICMS a Recolher;251470,07;
 ; ; ; ; ; ; ;112501/Cheque AV;24.247,05;211502/PIS a Recolher;9549,23;
 ; ; ; ; ; ; ;112502/Cheque Pre;100.611,95;211503/COFINS a Recolher;44047,57;
 ; ; ; ; ; ; ;112503/Cheque devolvido;9.205,75;211504/INSS a Recolher;446536,45;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;15.734,33;211505/FGTS a Pagar;99584,51;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;22.941,87;211506/IRPJ a Pagar;50563,34;
 ; ; ; ; ; ; ;112703/Devolução RCM;42.152,94;211507/CSLL a Pagar;18922,8;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;0,00;211508/IPTU a Pagar;8004,02;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;19.373,87;211509/IPVA a Pagar;0;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;2.649,00;211512/Multas Trabalhistas;5982,34;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;178.858,91;211513/ICMS ST à Recolher;13485,92;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211550/Fornec Tribut a Rec;0;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211601/Funrural a Recolher;4965,4;
 ; ; ; ; ; ; ;112801/Adto Funcionários;0,00;211602/IRRF a Recolher;12248,21;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211603/ISSQN a Recolher;857,94;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;3.815,64;211604/Pis/Cofins/Csll a Recolher;3049,33;
 ; ; ; ; ; ; ;112949/Outras CR;238,62;211605/INSS Retido a Recolher;2880,42;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211901/Devolução de Vendas a Pagar;21072,39;
 ; ; ; ; ; ; ;112953/Adto Clientes;35.436,60;211902/Contra Vale a Pagar;661,76;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211903/Adiant. de Clientes;10082,86;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211905/Créd Trocas/Boni Inden;1997,77;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211911/Corresp. Bancário;39830,78;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;106.205,88;211913/Alugueis a Pagar;391200,63;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;18.320,64;211914/Convênios Terceiros - Folha de Pagamento;50276,03;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211915/Vale - Cesta Alimentação;105,29;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;0,00;211916/Repasse Recarga de celular;10466;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;5.158,91;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;313101/Juros Recebidos;312,64;211920/Adiant. a Fornecedor;93157,74;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;5.601,40;211921/Bonificações a Apropriar;119655,96;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;756,37;211925/Acordos Comerciais a Apropriar;245883,72;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;23,79;211930/Depositos Judiciais de Terceiros a pagar;1018,94;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,00;211940/Distrib de Lucro Sócios;15533,12;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211945/Cheq Pré P/ Pagam;33488,16;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;139.677,84;211946/Outras Contas Pagar;1704;
 ; ; ; ; ; ; ;313208/Ganho Recarga;255,13;211948/Outras Contas a pagar - I;26526,3;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0,29;214303/Banco Aracredi;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;2.113,51;214305/Banco Safra;84537,56;
 ; ; ; ; ; ; ;333101/Juros Pagos;0,00;312107/Chargeback;0;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;0,00;313102/Descontos Obtidos;0;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;0,00;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;0,00;321255/( - ) Bonificações;0;
 ; ; ; ; ; ; ;333150/Taxa de recebiveis;1.124,46;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;332615/Taxas Ifood;2024,98;
 ; ; ; ; ; ; ; ; ;332707/Doações;1996,41;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;10,03;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;1033,21;
 ; ; ; ; ; ; ; ; ;333107/IOF;0;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;2900,85;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;158605,39;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;54,23;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;4103,66;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;5158,93;
 ; ; ; ; ; ; ; ; ;333120/Tarifa  Alelo Ali;59,4;
 ; ; ; ; ; ; ; ; ;333124/Tarifa - Sodexo Alim;243,99;
 ; ; ; ; ; ; ; ; ;333125/Tarifa - Ticket Alim;2283,45;
 ; ; ; ; ; ; ; ; ;333127/ Tarifa Debito - Alelo Refeição;2,7;
 ; ; ; ; ; ; ; ; ;333128/Tarifa- VR Benef;1016,14;
 ; ; ; ; ; ; ; ; ;333129/Tarifa - Sodexo Ref;227,29;
 ; ; ; ; ; ; ; ; ;333130/Tarifa- Sodexo Premium;0;
 ; ; ; ; ; ; ; ; ;333131/Tarifa - AMEX;0;
 ; ; ; ; ; ; ; ; ;333133/Tarifa Credito - Cabal;0;
 ; ; ; ; ; ; ; ; ;333134/ Tarifa GoodCard;0;
 ; ; ; ; ; ; ; ; ;333135/Tarifa Cred System;7;
 ; ; ; ; ; ; ; ; ;333136/Tarifa - ECX Card;0;
 ; ; ; ; ; ; ; ; ;333139/Tarifa- Mastercard;0;
 ; ; ; ; ; ; ; ; ;333141/Tarifa - Vale Card;732,1;
 ; ; ; ; ; ; ; ; ;333143/Tarifa- Policard;0;
 ; ; ; ; ; ; ; ; ;333145/Tarifa -Tricard Hibrido;0;
 ; ; ; ; ; ; ; ; ;333148/Tarifa -UP Brasil;972,99;
 ; ; ; ; ; ; ; ; ;333149/Anuidade C Cred;0;
 ; ; ; ; ; ; ; ; ;333153/Tarifa - Sodexo Gift;21,8;
 ; ; ; ; ; ; ; ; ;333154/Tarifa T.r.;453,83;
 ; ; ; ; ; ; ; ; ;333155/Tarifa Ticket Flex;504,23;
 ; ; ; ; ; ; ; ; ;333156/Tarifa - Ben Visa;0;
 ; ; ; ; ; ; ; ; ;333157/Tarifa - PIX;0;
 ; ; ; ; ; ; ; ; ;333158/Tarifa -Green Card Ref;4,5;
 ; ; ; ; ; ; ; ; ;333160/Tarifa - Green Card - Alimentação;4,5;
 ; ; ; ; ; ; ; ; ;333206/Perdas c/ Créditos Incobráveis;0;
 ; ; ; ; ; ; ; ; ;333211/Falta de Cx ñ Cobrada;0,69;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;320413,74;
 ; ; ; ; ; ; ; ; ; ;18824632,71;
 ; ; ; ; ; ; ; ; ; ;209396,41;
 ; ; ; ; ; ; ; ; ; ;27034,51;
 ; ; ; ; ; ; ; ; ; ;19354442,86;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
