Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Junho/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.791.922,98;18,25%; ;(E) Entradas ==>;15.743.766,18;(I) Saldo Inicial ==>;1.588.304,18;;
 ; ;Vendas Crédito;4.766.938,72;31,16%; ;(S) Saídas ==>;14.973.529,18;(F) Saldo Final ==>;2.358.541,18;;
 ; ;Vendas Débito;5.273.990,38;34,47%; ;(=) Ent - Saídas;770.237,00;(=) Saldo I - Saldo F;770.237,00;;
 ; ;Vendas Clientes;839.948,71;5,49%; ; ; ; ; ;;
 ; ;Vendas PIX;1.480.457,11;9,68%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;146.846,08;0,96%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;15.300.103,98;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;374.972,36;2,45%; ; ; ; ; ;;
 ; ;( - ) Deduções;34.226,88;0,22%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;14.890.904,74;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;10.337.427,88;69,42%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;4.553.476,86;30,58%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;436.606,37;2,93%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;17.883,45;0,12%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;143.756,88;0,97%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;161.640,33;1,09%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;20.344,15;0,14%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;14.096,72;0,09%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;1.524,75;0,01%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;2.954,75;0,02%; ; ; ; ; ;;
 ; ;Lucro Bruto;4.283.328,25;28,76%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;14.000,37;0,09%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;6.214,66;0,04%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.464.458,84;9,83%; ; ; ; ; ;;
 ; ;Despesas Administrativas;701.011,50;4,71%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;20.462,60;0,14%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;2.523,48;0,02%; ; ; ; ; ;;
 ; ;Alugueis;525.110,00;3,53%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;153.516,31;1,03%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;1.504,03;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.885.793,73;19,38%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;1.397.534,52;9,39%; ; ; ; ; ;;
 ; ;Resultado Financeiro;19.376,36;0,13%; ; ; ; ; ;;
 ; ;Receita Financeira;24.590,61;0,17%; ; ; ; ; ;;
 ; ;Despesas Financeiras;5.214,25;0,04%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;1.416.910,88;9,52%; ; ; ; ; ;;
 ; ;Imposto de Renda;54.744,52;0,37%; ; ; ; ; ;;
 ; ;Lucro Líquido;1.362.166,36;9,15%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;454.728,47;3,05%; ; ; ; ; ;;
 ; ;SAÍDAS;454.728,47;3,05%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;234.105,70;1,57%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;220.622,21;1,48%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,56;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;93.351,24;0,63%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;100.804,94; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;7.453,70; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;-44.539,51;-0,30%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;13.649,48; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;58.188,99; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;858.626,16;5,77%; ; ; ; ; ;;
 ; ;Acionistas;85.445,50;0,57%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;773.180,66;5,19%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;58.310,21; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;61.253,87; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;770.237,00; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ;111607/Resgate;0;
 ; ; ; ; ; ; ;Entradas - Total; ;112101/ Clientes a Receber;132940,83;
 ; ; ; ; ; ; ;Resgate;0,00;112150/Pix;15145,29;
 ; ; ; ; ; ; ;111101/Movimento Caixa;2.850.186,00;112210/Convênio Tejotão;16,98;
 ; ; ; ; ; ; ;112101/Clientes a Receber;376.787,17;112220/ G & C Hoteis;5159,47;
 ; ; ; ; ; ; ;112103/Clientes Boletos;52.022,41;112230/ Tejotão Card 25;1389,78;
 ; ; ; ; ; ; ;112111/Ifood;9.866,92;112231/ Pereira & Sales Loterias;541,09;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;0;
 ; ; ; ; ; ; ;112150/Pix;1.480.457,11;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;6800,22;
 ; ; ; ; ; ; ;112213/Tejotão Card;40.059,01;112244/Rossini;0;
 ; ; ; ; ; ; ;112220/GC Hoteis;9.943,42;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;158.961,39; ; ; ;112230/ Tejotão Card 25;11.587,39;112251/ Pelegrine e Silva;4306,79;
 ; ; ; ; ; ; ;112231/Pereira & Sales;1.401,21;112252/ Livio Rinzler e Outros;3527,81;
 ; ;Serviços Normais;157.587,21; ; ; ;112232/A Regional;2.864,23;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;2.275,06; ; ; ;112234/Sombra Lubrificantes;0,00;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;0;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;10.952,08;112302/Debito-Alelo Ali;2165,39;
 ; ; ; ; ; ; ;112243/Edmar;1.048,59;112303/Debito -Cabal-voucher;1225,81;
 ; ; ; ; ; ; ;112244/Rossini;0,00;112308/Debito-Elo;2317,78;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;161.226,70;112312/Debito - Maestro;19431,34;
 ; ; ; ; ; ; ;112249/Doações a receber;2.523,48;112319/Debito- Sodexo  Alim;5737,67;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;6.028,11;112320/Debito - Sodexo  Gift;0;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;4.306,79;112321/Debito - Ticket Alim;2127,15;
 ; ; ; ; ; ; ;112252/Livio Rinzler;9.168,29;112322/Debito - Ticket Restaurante;0;
 ; ; ; ; ; ; ;112253/E-commerce;51.861,18;112323/Debito - Ticket Flex;0;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;0,00;112326/Debito - Visa Electron;43154,69;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;66.502,41;112327/ Debito - Alelo Refeição;148,7;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;5.628,71;112329/Debito - VR Ali;1403,98;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;4.985,32;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;11.202,27;112350/Credito -AMEX;1686,49;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;157.570,39;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;129.122,80;112353/Credito-GoodCard;217;
 ; ; ; ; ; ; ;112308/Debito-Elo;513.664,52;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.718.197,88;112357/Credito - Elo;11600,81;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;232.339,44;112361/Credito - Mastercard;53293,76;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;23949,93;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;141.529,12;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;821,40;112375/Credito - Policard/Up Brasil;811,39;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;133,56;112379/Credito - Tricard;92,48;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.158.100,48;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;30.115,51;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;125.891,43;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;31.906,07;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;23.330,97;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;120,24;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;217,00;112501/Cheque AV;15542,05;
 ; ; ; ; ; ; ;112357/Credito - Elo;387.863,21;112502/Cheque Pre;20254,66;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;2954,75;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;26130,38;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.582.093,78;112707/Creditos Trocas em Cobrança;550,14;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.611.525,53;112985/IRRF a Compensar;3267,03;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;35.973,34;127201/Partic em Outras Sociedades;180;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;62.665,20;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;60.500,59;211101/Fornec. p/ Revenda;10337427,88;
 ; ; ; ; ; ; ;112380/Debito -VR ref;20.622,04;211102/Fornec p/ Consumo;192699,53;
 ; ; ; ; ; ; ;112381/Debito - Cabal;13.330,87;211103/Fornec de Serviços;350724,76;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;157587,21;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;6214,66;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;0,00;211109/Fornecedor de Investimento;4217,73;
 ; ; ; ; ; ; ;112398/Pic Pay;644,87;211110/Fornec desp gerais;20462,6;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.648,86;211201/Obrig Imobilizado;216224,48;
 ; ; ; ; ; ; ;112501/Cheque AV;19.391,50;211301/Salários e Ordenado;518239,03;
 ; ; ; ; ; ; ;112502/Cheque Pre;127.454,58;211302/Férias a Pagar;78685,07;
