Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Junho/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.815.225,25;17,36%; ;(E) Entradas ==>;16.781.004,92;(I) Saldo Inicial ==>;1.781.181,57;;
 ; ;Vendas Crédito;4.983.314,88;30,73%; ;(S) Saídas ==>;15.945.712,26;(F) Saldo Final ==>;2.616.474,23;;
 ; ;Vendas Débito;5.614.907,12;34,62%; ;(=) Ent - Saídas;835.292,66;(=) Saldo I - Saldo F;835.292,66;;
 ; ;Vendas Clientes;724.963,33;4,47%; ; ; ; ; ;;
 ; ;Vendas PIX;1.940.702,58;11,97%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;138.048,24;0,85%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;16.217.161,40;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;275.795,63;1,70%; ; ; ; ; ;;
 ; ;( - ) Deduções;16.703,83;0,10%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;15.924.661,94;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;11.285.390,10;70,87%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;4.639.271,84;29,13%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;450.315,69;2,83%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;85.696,23;0,54%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;55.910,89;0,35%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;141.607,12;0,89%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;33.884,59;0,21%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;24.335,95;0,15%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;1.988,86;0,01%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;3.591,46;0,02%; ; ; ; ; ;;
 ; ;Lucro Bruto;4.338.509,31;27,24%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;16.115,57;0,10%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;1.836,64;0,01%; ; ; ; ; ;;
 ; ;Fretes;110,95;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.583.933,47;9,95%; ; ; ; ; ;;
 ; ;Despesas Administrativas;788.000,07;4,95%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;6.452,00;0,04%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;2.726,49;0,02%; ; ; ; ; ;;
 ; ;Alugueis;415.309,90;2,61%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;164.653,75;1,03%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;1.566,76;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.977.572,08;18,70%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;1.360.937,23;8,55%; ; ; ; ; ;;
 ; ;Resultado Financeiro;1.125,36;0,01%; ; ; ; ; ;;
 ; ;Receita Financeira;6.109,50;0,04%; ; ; ; ; ;;
 ; ;Despesas Financeiras;4.984,14;0,03%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;1.362.062,59;8,55%; ; ; ; ; ;;
 ; ;Imposto de Renda;60.477,15;0,38%; ; ; ; ; ;;
 ; ;Lucro Líquido;1.301.585,44;8,17%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;531.086,52;3,33%; ; ; ; ; ;;
 ; ;SAÍDAS;531.086,52;3,33%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;84.577,33;0,53%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;446.509,20;2,80%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;-0,01;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;-24.475,26;-0,15%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;43.839,83; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;68.315,09; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;-63.670,02;-0,40%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;15.307,90; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;78.977,92; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;858.644,20;5,39%; ; ; ; ; ;;
 ; ;Acionistas;21.947,91;0,14%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;836.696,29;5,25%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;48.882,97; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;50.286,60; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;835.292,66; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ;111607/Resgate;0;
 ; ; ; ; ; ; ;Entradas - Total; ;112101/ Clientes a Receber;77065,87;
 ; ; ; ; ; ; ;Resgate;0,00;112150/Pix;15833,89;
 ; ; ; ; ; ; ;111101/Movimento Caixa;2.864.080,14;112210/Convênio Tejotão;0;
 ; ; ; ; ; ; ;112101/Clientes a Receber;298.134,13;112220/ G & C Hoteis;0;
 ; ; ; ; ; ; ;112103/Clientes Boletos;52.116,07;112230/ Tejotão Card 25;1409,76;
 ; ; ; ; ; ; ;112111/Ifood;13.127,71;112231/ Pereira & Sales Loterias;199,53;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;3857,43;
 ; ; ; ; ; ; ;112150/Pix;1.940.702,58;112238/ Parana Veiculos;0;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;12.806,88;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;32.191,70;112244/Rossini;11333,76;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;213.730,10; ; ; ;112230/ Tejotão Card 25;12.746,08;112251/ Pelegrine e Silva;4985,52;
 ; ; ; ; ; ; ;112231/Pereira & Sales;399,06;112252/ Livio Rinzler e Outros;5541,08;
 ; ;Serviços Normais;212.059,15; ; ; ;112232/A Regional;6.659,97;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;27.909,66; ; ; ;112234/Sombra Lubrificantes;5.442,97;112254/CDL- Câmara de Dirigentes Lojistas;0;
 ; ; ; ; ; ; ;112238/Parana Veiculos;0,00;112259/LF mecanização;22923,97;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;0,00;112302/Debito-Alelo Ali;1827,87;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;719,97;
 ; ; ; ; ; ; ;112244/Rossini;17.775,02;112308/Debito-Elo;3164,14;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;121.295,79;112312/Debito - Maestro;12762,51;
 ; ; ; ; ; ; ;112249/Doações a receber;2.726,49;112319/Debito- Sodexo  Alim;2894,41;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;9.218,77;112320/Debito - Sodexo  Gift;16,84;
 ; ; ; ; ; ; ;112251/Pelegrine e Silva;9.971,04;112321/Debito - Ticket Alim;831,04;
 ; ; ; ; ; ; ;112252/Livio Rinzler;12.815,05;112322/Debito - Ticket Restaurante;105,41;
 ; ; ; ; ; ; ;112253/E-commerce;30.980,51;112323/Debito - Ticket Flex;362,29;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;200,00;112326/Debito - Visa Electron;37114,56;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;49.701,87;112327/ Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;6.678,32;112329/Debito - VR Ali;1143,02;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;6.647,24;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;45.952,63;112350/Credito -AMEX;533,75;
 ; ; ; ; ; ; ;112260/Rede Orto;300,00;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;132.897,34;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;148.516,51;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;603.572,69;112355/Credito - ECX Card;0;
