Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.792.826,53;19,55%; ;(E) Entradas ==>;14.614.817,57;(I) Saldo Inicial ==>;1.645.614,17;;
 ; ;Vendas Crédito;4.598.061,24;32,18%; ;(S) Saídas ==>;14.672.127,56;(F) Saldo Final ==>;1.588.304,18;;
 ; ;Vendas Débito;4.701.378,04;32,91%; ;(=) Ent - Saídas;-57.309,99;(=) Saldo I - Saldo F;-57.309,99;;
 ; ;Vendas Clientes;675.522,82;4,73%; ; ; ; ; ;;
 ; ;Vendas PIX;1.347.191,19;9,43%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;171.871,00;1,20%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.286.850,82;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;327.644,99;2,29%; ; ; ; ; ;;
 ; ;( - ) Deduções;16.009,35;0,11%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;13.943.196,48;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;10.543.628,21;75,62%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.399.568,27;24,38%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;400.756,74;2,87%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;37.213,99;0,27%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;49.632,71;0,36%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;86.846,70;0,62%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;19.018,07;0,14%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;15.515,74;0,11%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;4.182,33;0,03%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;6.551,16;0,05%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.086.791,73;22,14%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;12.308,47;0,09%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;1.587,19;0,01%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.347.785,18;9,67%; ; ; ; ; ;;
 ; ;Despesas Administrativas;594.985,21;4,27%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;23.155,35;0,17%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;2.235,74;0,02%; ; ; ; ; ;;
 ; ;Alugueis;436.458,12;3,13%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;150.742,89;1,08%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;4.359,24;0,03%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.564.898,91;18,40%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;521.892,82;3,74%; ; ; ; ; ;;
 ; ;Resultado Financeiro;13.084,66;0,09%; ; ; ; ; ;;
 ; ;Receita Financeira;19.766,98;0,14%; ; ; ; ; ;;
 ; ;Despesas Financeiras;6.682,32;0,05%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;534.977,48;3,84%; ; ; ; ; ;;
 ; ;Imposto de Renda;56.057,30;0,40%; ; ; ; ; ;;
 ; ;Lucro Líquido;478.920,18;3,43%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;440.996,70;3,16%; ; ; ; ; ;;
 ; ;SAÍDAS;440.996,70;3,16%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;234.069,69;1,68%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;206.927,02;1,48%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;-0,01;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;1.905,69;0,01%; ; ; ; ; ;;
