Financeiro - Controladoria Financeira- Guia Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.695.813,30;18,76%; ;(E) Entradas ==>;14.748.287,49;(I) Saldo Inicial ==>;1.960.155,55;;
 ; ;Vendas Crédito;4.575.779,88;31,84%; ;(S) Saídas ==>;14.927.497,62;(F) Saldo Final ==>;1.780.945,42;;
 ; ;Vendas Débito;4.706.325,56;32,75%; ;(=) Ent - Saídas;-179.210,13;(=) Saldo I - Saldo F;-179.210,13;;
 ; ;Vendas Clientes;760.631,54;5,29%; ; ; ; ; ;;
 ; ;Vendas PIX;1.531.499,16;10,66%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;101.611,87;0,71%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.371.661,31;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;358.139,76;2,49%; ; ; ; ; ;;
 ; ;( - ) Deduções;52.450,79;0,36%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;13.961.070,76;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;10.680.970,58;76,51%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.280.100,18;23,49%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;361.468,20;2,59%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;48.114,46;0,34%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;67.884,38;0,49%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;115.998,84;0,83%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;32.547,91;0,23%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;1.428,82;0,01%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;5.234,57;0,04%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;1.340,49;0,01%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.069.643,99;21,99%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;12.539,26;0,09%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;775,00;0,01%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.525.388,68;10,93%; ; ; ; ; ;;
 ; ;Despesas Administrativas;741.632,32;5,31%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;6.302,00;0,05%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;3.098,10;0,02%; ; ; ; ; ;;
 ; ;Alugueis;346.167,97;2,48%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;143.931,42;1,03%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;1.096,86;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.778.737,89;19,90%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;290.906,10;2,08%; ; ; ; ; ;;
 ; ;Resultado Financeiro;4.906,97;0,04%; ; ; ; ; ;;
 ; ;Receita Financeira;9.724,21;0,07%; ; ; ; ; ;;
 ; ;Despesas Financeiras;4.817,24;0,03%; ; ; ; ; ;;
 ; ;Lucro Antes do IR;295.813,07;2,12%; ; ; ; ; ;;
 ; ;Imposto de Renda;58.711,50;0,42%; ; ; ; ; ;;
 ; ;Lucro Líquido;237.101,57;1,70%; ; ; ; ; ;;
 ; ;Fluxo dos Investimentos & Financiamentos;390.465,92;2,80%; ; ; ; ; ;;
 ; ;SAÍDAS;390.465,92;2,80%; ; ; ; ; ;;
 ; ;( - ) Empréstimos Bancários;84.598,18;0,61%; ; ; ; ; ;;
 ; ;( - ) Parcelamentos; ;0,00%; ; ; ; ; ;;
 ; ;( - ) Imobilizado/Investimentos;305.867,74;2,19%; ; ; ; ; ;;
 ; ;( - )  Juros S/ Empréstimos;0,00;0,00%; ; ; ; ; ;;
 ; ;ENTRADAS; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Empréstimos; ;0,00%; ; ; ; ; ;;
 ; ;( + )  Venda Imobilizados; ;0,00%; ; ; ; ; ;;
 ; ;( + )   Dividendos Outras Empresas; ;0,00%; ; ; ; ; ;;
 ; ;Fluxo dos Adiantamentos;-18.310,74;-0,13%; ; ; ; ; ;;
 ; ;( - ) Adiantamentos Efetuados;31.832,81; ; ; ; ; ; ;;
 ; ;( + ) Adiantamentos Recebidos;50.143,55; ; ; ; ; ; ;;
 ; ;Fluxo dos Cheques Emitidos;24.041,79;0,17%; ; ; ; ; ;;
 ; ;( - ) Cheques Compensados;52.469,73; ; ; ; ; ; ;;
 ; ;( + ) Cheques Emitidos;28.427,94; ; ; ; ; ; ;;
 ; ;NECESSIDADE DE C.G I;-159.095,40;-1,14%; ; ; ; ; ;;
 ; ;Acionistas;19.610,85;0,14%; ; ; ; ; ;;
 ; ;Recurso de Ligadas; ; ; ; ; ; ; ;;
 ; ;Recurso Enviado a Ligadas; ; ; ; ; ; ; ;;
 ; ;VARIAÇÃO DE CAIXA;-178.706,25;-1,28%; ; ; ; ; ;;
 ; ;Resgate/Consórcios ; ; ; ; ; ; ; ;;
 ; ;Aplicação/Consórcios; ; ; ; ; ; ; ;;
 ; ;Entradas de Correspondentes;46.017,92; ; ; ; ; ; ;;
 ; ;Saída de Correspondentes;46.521,80; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimento Final;-179.210,13; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ;111607/Resgate;0;
 ; ; ; ; ; ; ;Entradas - Total; ;112101/ Clientes a Receber;105823,54;
 ; ; ; ; ; ; ;Resgate;0,00;112150/Pix;21566,34;
 ; ; ; ; ; ; ;111101/Movimento Caixa;2.741.800,41;112210/Convênio Tejotão;0;
 ; ; ; ; ; ; ;112101/Clientes a Receber;340.786,99;112220/ G & C Hoteis;0;
 ; ; ; ; ; ; ;112103/Clientes Boletos;49.019,22;112230/ Tejotão Card 25;1785,63;
 ; ; ; ; ; ; ;112111/Ifood;13.399,97;112231/ Pereira & Sales Loterias;366,25;
 ; ; ; ; ; ; ;112149/Creditos Receber;0,00;112232/A Regional;6356,93;
 ; ; ; ; ; ; ;112150/Pix;1.531.499,16;112238/ Parana Veiculos;72,53;
 ; ; ; ; ; ; ;112210/Convênio Tejotão;0,00;112240/ Esporte Clube Cometa;0;
 ; ; ; ; ; ; ;112213/Tejotão Card;30.090,32;112244/Rossini;0;
 ; ; ; ; ; ; ;112220/GC Hoteis;0,00;112250/Tejotao Card - Cartoes;0;
 ; ;VALIDAÇÃO 211104;194.777,96; ; ; ;112230/ Tejotão Card 25;11.572,10;112251/ Pelegrine e Silva;4220,34;
 ; ; ; ; ; ; ;112231/Pereira & Sales;732,50;112252/ Livio Rinzler e Outros;7273,97;
 ; ;Serviços Normais;194.010,41; ; ; ;112232/A Regional;9.911,32;112253/Entregas e-commerce;0;
 ; ;Serviços - Investimentos;28.708,74; ; ; ;112234/Sombra Lubrificantes;4.822,51;112254/CDL- Câmara de Dirigentes Lojistas;200;
 ; ; ; ; ; ; ;112238/Parana Veiculos;145,06;112259/LF mecanização;23028,66;
 ; ; ; ; ; ; ;112240/Esporte Clube Cometa;0,00;112302/Debito-Alelo Ali;1157,66;
 ; ; ; ; ; ; ;112243/Edmar;0,00;112303/Debito -Cabal-voucher;2234,74;
 ; ; ; ; ; ; ;112244/Rossini;0,00;112308/Debito-Elo;1603,27;
 ; ; ; ; ; ; ;112248/Entregas a Domicilio;151.762,19;112312/Debito - Maestro;8818,47;
 ; ; ; ; ; ; ;112249/Doações a receber;3.098,10;112319/Debito- Sodexo  Alim;3331,49;
 ; ; ; ; ; ; ;112250/Tejotao Card-Cartoes;19.056,48;112320/Debito - Sodexo  Gift;0;
