Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.811.937,74;18,95%; ;(E) Entradas ==>;15.191.508,00;(I) Saldo Inicial ==>;1.374.410,41;;
 ; ;Vendas Crédito;4.724.817,49;31,83%; ;(S) Saídas ==>;14.497.147,61;(F) Saldo Final ==>;2.068.770,80;;
 ; ;Vendas Débito;5.142.012,63;34,65%; ;(=) Ent - Saídas;694.360,39;(=) Saldo I - Saldo F;694.360,39;;
 ; ;Vendas Clientes;653.190,97;4,40%; ; ; ; ; ;;
 ; ;Vendas PIX;1.360.770,30;9,17%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;148.940,94;1,00%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;14.841.670,07;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;294.074,31;1,98%; ; ; ; ; ;;
 ; ;( - ) Deduções;11.216,77;0,08%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;14.536.378,99;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;10.468.795,45;72,02%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;4.067.583,54;27,98%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;350.986,82;2,41%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;9.650,89;0,07%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;70.795,64;0,49%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;80.446,53;0,55%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;24.122,41;0,17%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;8.805,35;0,06%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;3.681,28;0,03%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;5.090,89;0,04%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.810.950,70;26,22%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;20.076,70;0,14%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;11.883,78;0,08%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.373.640,76;9,45%; ; ; ; ; ;;
 ; ;Despesas Administrativas;737.634,59;5,07%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;18.108,85;0,12%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;1.860,49;0,01%; ; ; ; ; ;;
 ; ;Alugueis;409.393,55;2,82%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;154.368,14;1,06%; ; ; ; ; ;;
