Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Novembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.536.592,57;18,53%; ;(E) Entradas ==>;14.138.340,08;(I) Saldo Inicial ==>;1.867.871,62;;
 ; ;Vendas Crédito;4.573.082,68;33,41%; ;(S) Saídas ==>;14.203.001,56;(F) Saldo Final ==>;1.803.210,14;;
 ; ;Vendas Débito;4.328.154,13;31,62%; ;(=) Ent - Saídas;-64.661,48;(=) Saldo I - Saldo F;-64.661,48;;
 ; ;Vendas Clientes;700.200,10;5,12%; ; ; ; ; ;;
 ; ;Vendas PIX;1.405.261,80;10,27%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;143.769,49;1,05%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;13.687.060,77;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;343.482,82;2,51%; ; ; ; ; ;;
 ; ;( - ) Deduções;15.242,14;0,11%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;13.328.335,81;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;9.913.170,20;74,38%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.415.165,61;25,62%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;387.624,43;2,91%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;105.090,05;0,79%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;21.424,35;0,16%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;126.514,40;0,95%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;40.952,47;0,31%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;6.642,73;0,05%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;2.988,49;0,02%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;2.988,49;0,02%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.188.365,32;23,92%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;40.121,62;0,30%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;0,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;13,99;0,00%; ; ; ; ; ;;
