Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Outubro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.649.868,57;17,36%; ;(E) Entradas ==>;16.076.720,72;(I) Saldo Inicial ==>;1.794.707,21;;
 ; ;Vendas Crédito;4.902.907,03;32,11%; ;(S) Saídas ==>;16.003.556,31;(F) Saldo Final ==>;1.867.871,62;;
 ; ;Vendas Débito;5.244.558,89;34,35%; ;(=) Ent - Saídas;73.164,41;(=) Saldo I - Saldo F;73.164,41;;
 ; ;Vendas Clientes;728.989,47;4,77%; ; ; ; ; ;;
 ; ;Vendas PIX;1.605.069,00;10,51%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;136.471,12;0,89%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;15.267.864,08;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;344.393,00;2,26%; ; ; ; ; ;;
 ; ;( - ) Deduções;14.477,01;0,09%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;14.908.994,07;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;11.158.373,08;74,84%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;3.750.620,99;25,16%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;379.911,50;2,55%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;182.799,11;1,23%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;82.642,27;0,55%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;265.441,38;1,78%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;32.418,53;0,22%; ; ; ; ; ;;
 ; ;( - ) Outras Saídas Operacionais;26.299,19;0,18%; ; ; ; ; ;;
 ; ;( + ) Cheques Devolvidos Recebidos;1.872,42;0,01%; ; ; ; ; ;;
 ; ;( - ) Cheques Devolvidos;1.872,42;0,01%; ; ; ; ; ;;
 ; ;Lucro Bruto;3.642.270,21;24,43%; ; ; ; ; ;;
 ; ;Custos da Operação; ; ; ; ; ; ; ;;
 ; ;Despesas Tributárias;23.999,26;0,16%; ; ; ; ; ;;
 ; ;Despesas Tributárias - Multas;250,00;0,00%; ; ; ; ; ;;
 ; ;Fretes;14,99;0,00%; ; ; ; ; ;;
 ; ;Despesas C/ Pessoal;1.399.600,20;9,39%; ; ; ; ; ;;
 ; ;Despesas Administrativas;750.873,50;5,04%; ; ; ; ; ;;
 ; ;Despesas Indedutíveis;18.376,65;0,12%; ; ; ; ; ;;
 ; ;Doações e Patrocínios;2.600,93;0,02%; ; ; ; ; ;;
 ; ;Alugueis;609.771,62;4,09%; ; ; ; ; ;;
 ; ;Taxas Adm de Cartões;165.084,86;1,11%; ; ; ; ; ;;
 ; ;( - ) Recuperação de Despesas;1.775,25;0,01%; ; ; ; ; ;;
 ; ;Total de Custos Operacionais;2.968.796,76;19,91%; ; ; ; ; ;;
 ; ;LUCRO DAS OPERAÇÕES;673.473,45;4,52%; ; ; ; ; ;;
 ; ;Resultado Financeiro;17.679,49;0,12%; ; ; ; ; ;;
