Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Setembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ;Vendas - Dinheiro;2.532.773,10;16,33%; ;(E) Entradas ==>;16.051.464,87;(I) Saldo Inicial ==>;1.429.110,03;;
 ; ;Vendas Crédito;5.211.520,81;33,61%; ;(S) Saídas ==>;15.685.867,69;(F) Saldo Final ==>;1.794.707,21;;
 ; ;Vendas Débito;5.360.065,23;34,57%; ;(=) Ent - Saídas;365.597,18;(=) Saldo I - Saldo F;365.597,18;;
 ; ;Vendas Clientes;693.165,88;4,47%; ; ; ; ; ;;
 ; ;Vendas PIX;1.574.150,60;10,15%; ;Auditoria Planilha;0,00;E-S <=> F-I;0,00;;
 ; ;Vendas - Cheques;133.576,19;0,86%; ; ; ; ; ;;
 ; ;Total de Vendas Recebidas;15.505.251,81;100,00%; ;Ponto de Equilíbrio;0,00; ; ;;
 ; ;( - ) Recebimentos S/ Movimento de Caixa;300.940,39;1,94%; ; ; ; ; ;;
 ; ;( - ) Deduções;15.854,99;0,10%; ; ; ; ; ;;
 ; ;( = ) Vendas Líquidas em Caixa;15.188.456,43;100,00%; ; ; ; ; ;;
 ; ;( - ) Compras;10.760.556,54;70,85%; ; ; ; ; ;;
 ; ;( = ) Margem de Venda;4.427.899,89;29,15%; ; ; ; ; ;;
 ; ;( - ) Impostos Sobre Vendas;458.488,75;3,02%; ; ; ; ; ;;
 ; ;( +) Acordo Comercias;71.831,83;0,47%; ; ; ; ; ;;
 ; ;( + ) Trocas/Devoluções Recebidas;62.046,66;0,41%; ; ; ; ; ;;
 ; ;( = ) Sub Total de Acordos Comerciais Geral;133.878,49;0,88%; ; ; ; ; ;;
 ; ;( + ) Outras Entradas Operacionais;32.675,21;0,22%; ; ; ; ; ;;
